"INDIKATOR_GRUPPE","INDIKATOR_BEZEICHNUNG","INDIKATOR_AUSPRAEGUNG","INDIKATOR_WERT","BASISWERT_1","BASISWERT_2","BASISWERT_3","BASISWERT_4","BASISWERT_5","NAME_BASISWERT1","NAME_BASISWERT2","NAME_BASISWERT3","NAME_BASISWERT4","NAME_BASISWERT5","JAHR","GLIEDERUNG","NUMMER","NAME"
"Gesundheit","Ärztedichte","alle Ärzte (ohne Therapeuten)","656,19","52495","80","","","","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne Therapeuten_innen)","","","","2010","Stadtbezirk","7","07 Sendling - Westpark"
"Gesundheit","Ärztedichte","alle Ärzte (ohne Therapeuten)","415,98","49502","119","","","","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne Therapeuten_innen)","","","","2010","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Gesundheit","Ärztedichte","Frauenheilkunde und Geburtshilfe","2224","33360","15","","","","weibliche Hauptwohnsitzbevölkerung","Ärztinnen und Ärzte für Frauenheilkunde und Geburtshilfe","","","","2010","Stadtbezirk","4","04 Schwabing - West"
"Gesundheit","Ärztedichte","Frauenheilkunde und Geburtshilfe","3042,44","27382","9","","","","weibliche Hauptwohnsitzbevölkerung","Ärztinnen und Ärzte für Frauenheilkunde und Geburtshilfe","","","","2010","Stadtbezirk","7","07 Sendling - Westpark"
"Gesundheit","Ärztedichte","Frauenheilkunde und Geburtshilfe","4367,3","43673","10","","","","weibliche Hauptwohnsitzbevölkerung","Ärztinnen und Ärzte für Frauenheilkunde und Geburtshilfe","","","","2010","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Gesundheit","Ärztedichte","Innere Medizin","1628,95","65158","40","","","","Hauptwohnsitzbevölkerung","Ärztinnen und Ärzte für Innere Medizin","","","","2010","Stadtbezirk","12","12 Schwabing - Freimann"
"Gesundheit","Ärztedichte","Innere Medizin","3268,67","49030","15","","","","Hauptwohnsitzbevölkerung","Ärztinnen und Ärzte für Innere Medizin","","","","2010","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Gesundheit","Ärztedichte","Orthopädie","20896","83584","4","","","","Hauptwohnsitzbevölkerung","Ärztinnen und Ärzte für Orthopädie","","","","2010","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Gesundheit","Ärztedichte","alle Ärzte (ohne Therapeuten)","427,59","62856","147","","","","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne Therapeuten_innen)","","","","2010","Stadtbezirk","4","04 Schwabing - West"
"Gesundheit","Ärztedichte","alle Ärzte (ohne Therapeuten)","1231,61","68970","56","","","","Hauptwohnsitzbevölkerung","alle Ärztinnen und Ärzte (ohne Therapeuten_innen)","","","","2010","Stadtbezirk","11","11 Milbertshofen - Am Hart"
