Alleinerziehende;Stadtteil
75,08;01 Altstadt - Lehel
73,92;02 Ludwigsvorstadt - Isarvorstadt
74,74;03 Maxvorstadt
74,69;04 Schwabing - West
78,98;05 Au - Haidhausen
78,5;06 Sendling
75,07;07 Sendling - Westpark
78,93;08 Schwanthalerhöhe
76,06;09 Neuhausen - Nymphenburg
72,22;10 Moosach
76,67;11 Milbertshofen - Am Hart
76,92;12 Schwabing - Freimann
75,25;13 Bogenhausen
77,54;14 Berg am Laim
73,22;15 Trudering - Riem
72,98;16 Ramersdorf - Perlach
79,58;17 Obergiesing - Fasangarten
76,18;18 Untergiesing - Harlaching
74,89;19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln
75,5;20 Hadern
74,32;21 Pasing - Obermenzing
71,76;22 Aubing - Lochhausen - Langwied
73,74;23 Allach - Untermenzing
74,79;24 Feldmoching - Hasenbergl
75,35;25 Laim
