Arbeitslose;Stadtteil
16,81;01 Altstadt - Lehel
24,7;02 Ludwigsvorstadt - Isarvorstadt
21,82;03 Maxvorstadt
22,93;04 Schwabing - West
23,28;05 Au - Haidhausen
29,77;06 Sendling
26,2;07 Sendling - Westpark
28,4;08 Schwanthalerhöhe
26,87;09 Neuhausen - Nymphenburg
39,55;10 Moosach
34,94;11 Milbertshofen - Am Hart
24,31;12 Schwabing - Freimann
23,88;13 Bogenhausen
26,5;14 Berg am Laim
26,63;15 Trudering - Riem
30,66;16 Ramersdorf - Perlach
24,99;17 Obergiesing - Fasangarten
22,55;18 Untergiesing - Harlaching
26,19;19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln
30,47;20 Hadern
26,71;21 Pasing - Obermenzing
27,48;22 Aubing - Lochhausen - Langwied
27,27;23 Allach - Untermenzing
28,95;24 Feldmoching - Hasenbergl
27,08;25 Laim
