Betreuungsangebot;Stadtteil
1,5;01 Altstadt - Lehel
3,2;02 Ludwigsvorstadt - Isarvorstadt
3,9;03 Maxvorstadt
2,8;04 Schwabing - West
4,7;05 Au - Haidhausen
2,3;06 Sendling
3,4;07 Sendling - Westpark
2,4;08 Schwanthalerhöhe
6,1;09 Neuhausen - Nymphenburg
3,3;10 Moosach
4,9;11 Milbertshofen - Am Hart
5,6;12 Schwabing - Freimann
5,8;13 Bogenhausen
2,6;14 Berg am Laim
6,2;15 Trudering - Riem
9;16 Ramersdorf - Perlach
2,7;17 Obergiesing - Fasangarten
3,1;18 Untergiesing - Harlaching
5,2;19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln
3,6;20 Hadern
4,9;21 Pasing - Obermenzing
2,9;22 Aubing - Lochhausen - Langwied
2,3;23 Allach - Untermenzing
4,5;24 Feldmoching - Hasenbergl
3;25 Laim
