Motorisierungsgrad;Stadtteil
38,9;01 Altstadt - Lehel
28,1;02 Ludwigsvorstadt - Isarvorstadt
30,1;03 Maxvorstadt
33,3;04 Schwabing - West
30,6;05 Au - Haidhausen
33,8;06 Sendling
36,9;07 Sendling - Westpark
28,3;08 Schwanthalerhöhe
35,5;09 Neuhausen - Nymphenburg
38,9;10 Moosach
30,8;11 Milbertshofen - Am Hart
36,4;12 Schwabing - Freimann
44,9;13 Bogenhausen
36,3;14 Berg am Laim
45,8;15 Trudering - Riem
37,7;16 Ramersdorf - Perlach
32,4;17 Obergiesing - Fasangarten
38,2;18 Untergiesing - Harlaching
43,2;19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln
39,7;20 Hadern
43;21 Pasing - Obermenzing
43,7;22 Aubing - Lochhausen - Langwied
51,1;23 Allach - Untermenzing
40;24 Feldmoching - Hasenbergl
36,3;25 Laim
