"INDIKATOR_GRUPPE","INDIKATOR_BEZEICHNUNG","INDIKATOR_AUSPRAEGUNG","INDIKATOR_WERT","BASISWERT_1","BASISWERT_2","BASISWERT_3","BASISWERT_4","BASISWERT_5","NAME_BASISWERT1","NAME_BASISWERT2","NAME_BASISWERT3","NAME_BASISWERT4","NAME_BASISWERT5","JAHR","GLIEDERUNG","NUMMER","NAME"
"Arbeitsmarkt","Arbeitslose","Unter 25-Jährige","6.7","86","1290.3","","","","Arbeitslose unter 25 Jahren","alle Arbeitslosen","","","","2000","Stadtbezirk","25","25 Laim"
"Arbeitsmarkt","Arbeitslose","Teilzeitarbeitssuchende","12.5","173.3","1384.8","","","","Arbeitssuchende für eine Teilzeitbeschäftigung","alle Arbeitslosen","","","","2000","Stadtbezirk","13","13 Bogenhausen"
"Arbeitsmarkt","Arbeitslose","Teilzeitarbeitssuchende","7.1","82","1161.5","","","","Arbeitssuchende für eine Teilzeitbeschäftigung","alle Arbeitslosen","","","","2000","Stadtbezirk","3","03 Maxvorstadt"
"Arbeitsmarkt","Arbeitslose","Teilzeitarbeitssuchende","16.3","217.3","1335","","","","Arbeitssuchende für eine Teilzeitbeschäftigung","alle Arbeitslosen","","","","2000","Stadtbezirk","21","21 Pasing - Obermenzing"
"Arbeitsmarkt","Arbeitslose","Unter 25-Jährige","6.7","76.3","1146.5","","","","Arbeitslose unter 25 Jahren","alle Arbeitslosen","","","","2000","Stadtbezirk","10","10 Moosach"
"Arbeitsmarkt","Arbeitslose","Unter 25-Jährige","5.9","46.3","777.8","","","","Arbeitslose unter 25 Jahren","alle Arbeitslosen","","","","2000","Stadtbezirk","15","15 Trudering - Riem"
"Arbeitsmarkt","Arbeitslose","Teilzeitarbeitssuchende","11.3","3712","32736.3","","","","Arbeitssuchende für eine Teilzeitbeschäftigung","alle Arbeitslosen","","","","2000","Gesamtstadt","#100","Stadt München"
"Arbeitsmarkt","Arbeitslose","über 55-Jährige","28.4","452","1589.3","","","","Arbeitslose über 55 Jahren","alle Arbeitslosen","","","","2000","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Arbeitsmarkt","Arbeitslose","über 55-Jährige","28.4","400.8","1411.3","","","","Arbeitslose über 55 Jahren","alle Arbeitslosen","","","","2000","Stadtbezirk","5","05 Au - Haidhausen"
"Arbeitsmarkt","Arbeitslose","Unter 25-Jährige","5.3","100.3","1881","","","","Arbeitslose unter 25 Jahren","alle Arbeitslosen","","","","2000","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Arbeitsmarkt","Arbeitslose","Unter 25-Jährige","8.8","171.3","1936.8","","","","Arbeitslose unter 25 Jahren","alle Arbeitslosen","","","","2000","Stadtbezirk","11","11 Milbertshofen - Am Hart"
