"INDIKATOR_GRUPPE","INDIKATOR_BEZEICHNUNG","INDIKATOR_AUSPRAEGUNG","INDIKATOR_WERT","BASISWERT_1","BASISWERT_2","BASISWERT_3","BASISWERT_4","BASISWERT_5","NAME_BASISWERT1","NAME_BASISWERT2","NAME_BASISWERT3","NAME_BASISWERT4","NAME_BASISWERT5","JAHR","GLIEDERUNG","NUMMER","NAME"
"Bevölkerung","Alleinerziehende Haushalte","mit weiteren Personen","6.9","43","623","","","","Alleinerziehende Privathaushalte - mit weiteren Personen","Alle Alleinerziehenden-Privathaushalte","","","","2000","Stadtbezirk","8","08 Schwanthalerhöhe"
"Bevölkerung","Alleinerziehende Haushalte","Männer","8.93","87","974","","","","Alleinerziehende Privathaushalte - Männer","Alle Alleinerziehenden-Privathaushalte","","","","2000","Stadtbezirk","7","07 Sendling - Westpark"
"Bevölkerung","Alleinerziehende Haushalte","Männer","9.97","86","863","","","","Alleinerziehende Privathaushalte - Männer","Alle Alleinerziehenden-Privathaushalte","","","","2000","Stadtbezirk","14","14 Berg am Laim"
"Bevölkerung","Alleinerziehende Haushalte","mit weiteren Personen","6.56","67","1022","","","","Alleinerziehende Privathaushalte - mit weiteren Personen","Alle Alleinerziehenden-Privathaushalte","","","","2000","Stadtbezirk","4","04 Schwabing - West"
"Bevölkerung","Alleinerziehende Haushalte","Männer","9.78","226","2312","","","","Alleinerziehende Privathaushalte - Männer","Alle Alleinerziehenden-Privathaushalte","","","","2000","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Bevölkerung","Alleinerziehende Haushalte","mit weiteren Personen","7.19","65","904","","","","Alleinerziehende Privathaushalte - mit weiteren Personen","Alle Alleinerziehenden-Privathaushalte","","","","2000","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Bevölkerung","Alleinerziehende Haushalte","Frauen","83.23","978","1175","","","","Alleinerziehende Privathaushalte - Frauen","Alle Alleinerziehenden-Privathaushalte","","","","2000","Stadtbezirk","5","05 Au - Haidhausen"
"Bevölkerung","Alleinerziehende Haushalte","Männer","9.06","84","927","","","","Alleinerziehende Privathaushalte - Männer","Alle Alleinerziehenden-Privathaushalte","","","","2000","Stadtbezirk","25","25 Laim"
"Bevölkerung","Alleinerziehende Haushalte","Frauen","82.9","286","345","","","","Alleinerziehende Privathaushalte - Frauen","Alle Alleinerziehenden-Privathaushalte","","","","2000","Stadtbezirk","1","01 Altstadt - Lehel"
"Bevölkerung","Alleinerziehende Haushalte","Männer","9.57","33","345","","","","Alleinerziehende Privathaushalte - Männer","Alle Alleinerziehenden-Privathaushalte","","","","2000","Stadtbezirk","1","01 Altstadt - Lehel"
"Bevölkerung","Alleinerziehende Haushalte","mit weiteren Personen","6.67","65","974","","","","Alleinerziehende Privathaushalte - mit weiteren Personen","Alle Alleinerziehenden-Privathaushalte","","","","2000","Stadtbezirk","7","07 Sendling - Westpark"
"Bevölkerung","Alleinerziehende Haushalte","Frauen","83.22","21007","25244","","","","Alleinerziehende Privathaushalte - Frauen","Alle Alleinerziehenden-Privathaushalte","","","","2000","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Alleinerziehende Haushalte","mit weiteren Personen","7.73","107","1384","","","","Alleinerziehende Privathaushalte - mit weiteren Personen","Alle Alleinerziehenden-Privathaushalte","","","","2000","Stadtbezirk","13","13 Bogenhausen"
"Bevölkerung","Alleinerziehende Haushalte","gesamt","3.78","1302","34459","","","","Alleinerziehende Privathaushalte - gesamt","Alle Privathaushalte","","","","2000","Stadtbezirk","11","11 Milbertshofen - Am Hart"
"Bevölkerung","Alleinerziehende Haushalte","gesamt","2.97","927","31197","","","","Alleinerziehende Privathaushalte - gesamt","Alle Privathaushalte","","","","2000","Stadtbezirk","25","25 Laim"
"Bevölkerung","Alleinerziehende Haushalte","Männer","10.04","72","717","","","","Alleinerziehende Privathaushalte - Männer","Alle Alleinerziehenden-Privathaushalte","","","","2000","Stadtbezirk","3","03 Maxvorstadt"
"Bevölkerung","Alleinerziehende Haushalte","Frauen","83.12","596","717","","","","Alleinerziehende Privathaushalte - Frauen","Alle Alleinerziehenden-Privathaushalte","","","","2000","Stadtbezirk","3","03 Maxvorstadt"
"Bevölkerung","Alleinerziehende Haushalte","Frauen","81.06","783","966","","","","Alleinerziehende Privathaushalte - Frauen","Alle Alleinerziehenden-Privathaushalte","","","","2000","Stadtbezirk","10","10 Moosach"
"Bevölkerung","Alleinerziehende Haushalte","Frauen","82.62","713","863","","","","Alleinerziehende Privathaushalte - Frauen","Alle Alleinerziehenden-Privathaushalte","","","","2000","Stadtbezirk","14","14 Berg am Laim"
"Bevölkerung","Alleinerziehende Haushalte","mit weiteren Personen","6.39","48","751","","","","Alleinerziehende Privathaushalte - mit weiteren Personen","Alle Alleinerziehenden-Privathaushalte","","","","2000","Stadtbezirk","6","06 Sendling"
"Bevölkerung","Alleinerziehende Haushalte","Frauen","82.93","714","861","","","","Alleinerziehende Privathaushalte - Frauen","Alle Alleinerziehenden-Privathaushalte","","","","2000","Stadtbezirk","20","20 Hadern"
