"INDIKATOR_GRUPPE","INDIKATOR_BEZEICHNUNG","INDIKATOR_AUSPRAEGUNG","INDIKATOR_WERT","BASISWERT_1","BASISWERT_2","BASISWERT_3","BASISWERT_4","BASISWERT_5","NAME_BASISWERT1","NAME_BASISWERT2","NAME_BASISWERT3","NAME_BASISWERT4","NAME_BASISWERT5","JAHR","GLIEDERUNG","NUMMER","NAME"
"Bevölkerung","Einwohnerdichte","Wert","4016","1247934","310.7","","","","Anzahl Einwohner_innen mit Hauptwohnsitz","Quadratkilometer Grundfläche","","","","2000","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Einwohnerdichte","Wert","4102","45507","11.1","","","","Anzahl Einwohner_innen mit Hauptwohnsitz","Quadratkilometer Grundfläche","","","","2000","Stadtbezirk","10","10 Moosach"
"Bevölkerung","Einwohnerdichte","Wert","3622","59758","16.5","","","","Anzahl Einwohner_innen mit Hauptwohnsitz","Quadratkilometer Grundfläche","","","","2000","Stadtbezirk","21","21 Pasing - Obermenzing"
"Bevölkerung","Einwohnerdichte","Wert","4324","76762","17.8","","","","Anzahl Einwohner_innen mit Hauptwohnsitz","Quadratkilometer Grundfläche","","","","2000","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Bevölkerung","Einwohnerdichte","Wert","10099","44451","4.4","","","","Anzahl Einwohner_innen mit Hauptwohnsitz","Quadratkilometer Grundfläche","","","","2000","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Bevölkerung","Einwohnerdichte","Wert","6192","48388","7.8","","","","Anzahl Einwohner_innen mit Hauptwohnsitz","Quadratkilometer Grundfläche","","","","2000","Stadtbezirk","7","07 Sendling - Westpark"
"Bevölkerung","Einwohnerdichte","Wert","9182","48534","5.3","","","","Anzahl Einwohner_innen mit Hauptwohnsitz","Quadratkilometer Grundfläche","","","","2000","Stadtbezirk","25","25 Laim"
"Bevölkerung","Einwohnerdichte","Wert","8749","34462","3.9","","","","Anzahl Einwohner_innen mit Hauptwohnsitz","Quadratkilometer Grundfläche","","","","2000","Stadtbezirk","6","06 Sendling"
"Bevölkerung","Einwohnerdichte","Wert","5729","46153","8.1","","","","Anzahl Einwohner_innen mit Hauptwohnsitz","Quadratkilometer Grundfläche","","","","2000","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Bevölkerung","Einwohnerdichte","Wert","1727","26682","15.5","","","","Anzahl Einwohner_innen mit Hauptwohnsitz","Quadratkilometer Grundfläche","","","","2000","Stadtbezirk","23","23 Allach - Untermenzing"
