"INDIKATOR_GRUPPE","INDIKATOR_BEZEICHNUNG","INDIKATOR_AUSPRAEGUNG","INDIKATOR_WERT","BASISWERT_1","BASISWERT_2","BASISWERT_3","BASISWERT_4","BASISWERT_5","NAME_BASISWERT1","NAME_BASISWERT2","NAME_BASISWERT3","NAME_BASISWERT4","NAME_BASISWERT5","JAHR","GLIEDERUNG","NUMMER","NAME"
"Bevölkerung","Haushalte mit Kindern","Haushalte mit Kindern - gemischt","53.64","870","1622","","","","Privathaushalte gemischt mit Kindern","Privathaushalte gemischt","","","","2000","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Bevölkerung","Haushalte mit Kindern","Haushalte mit Kindern - gemischt","47.74","1090","2283","","","","Privathaushalte gemischt mit Kindern","Privathaushalte gemischt","","","","2000","Stadtbezirk","11","11 Milbertshofen - Am Hart"
"Bevölkerung","Haushalte mit Kindern","Haushalte mit Kindern - gemischt","41.14","645","1568","","","","Privathaushalte gemischt mit Kindern","Privathaushalte gemischt","","","","2000","Stadtbezirk","25","25 Laim"
"Bevölkerung","Haushalte mit Kindern","Haushalte mit Kindern - gemischt","51.19","1848","3610","","","","Privathaushalte gemischt mit Kindern","Privathaushalte gemischt","","","","2000","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Bevölkerung","Haushalte mit Kindern","Haushalte mit Kindern - gesamt","15.88","6806","42846","","","","Privathaushalte mit Kindern","Alle Privathaushalte","","","","2000","Stadtbezirk","13","13 Bogenhausen"
"Bevölkerung","Haushalte mit Kindern","Haushalte mit Kindern - gesamt","14.5","3225","22240","","","","Privathaushalte mit Kindern","Alle Privathaushalte","","","","2000","Stadtbezirk","6","06 Sendling"
"Bevölkerung","Haushalte mit Kindern","Haushalte mit Kindern - gesamt","15.18","4022","26489","","","","Privathaushalte mit Kindern","Alle Privathaushalte","","","","2000","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Bevölkerung","Haushalte mit Kindern","Haushalte mit Kindern - gesamt","8.59","2881","33557","","","","Privathaushalte mit Kindern","Alle Privathaushalte","","","","2000","Stadtbezirk","3","03 Maxvorstadt"
"Bevölkerung","Haushalte mit Kindern","Haushalte mit Kindern - gesamt","15.77","118353","750547","","","","Privathaushalte mit Kindern","Alle Privathaushalte","","","","2000","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Haushalte mit Kindern","Haushalte mit Kindern - gesamt","9.93","1359","13680","","","","Privathaushalte mit Kindern","Alle Privathaushalte","","","","2000","Stadtbezirk","1","01 Altstadt - Lehel"
"Bevölkerung","Haushalte mit Kindern","Haushalte mit Kindern - gesamt","10.64","4131","38839","","","","Privathaushalte mit Kindern","Alle Privathaushalte","","","","2000","Stadtbezirk","4","04 Schwabing - West"
"Bevölkerung","Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","34.29","1400","4083","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","","","2000","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Bevölkerung","Haushalte mit Kindern","Haushalte mit Kindern - deutsch","11.83","2899","24505","","","","Privathaushalte deutsch mit Kindern","Privathaushalte deutsch","","","","2000","Stadtbezirk","11","11 Milbertshofen - Am Hart"
"Bevölkerung","Haushalte mit Kindern","Haushalte mit Kindern - deutsch","11.84","2760","23308","","","","Privathaushalte deutsch mit Kindern","Privathaushalte deutsch","","","","2000","Stadtbezirk","7","07 Sendling - Westpark"
"Bevölkerung","Haushalte mit Kindern","Haushalte mit Kindern - ausländisch","12.28","916","7459","","","","Privathaushalte ausländisch mit Kindern","Privathaushalte ausländisch","","","","2000","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
