"INDIKATOR_GRUPPE","INDIKATOR_BEZEICHNUNG","INDIKATOR_AUSPRAEGUNG","INDIKATOR_WERT","BASISWERT_1","BASISWERT_2","BASISWERT_3","BASISWERT_4","BASISWERT_5","NAME_BASISWERT1","NAME_BASISWERT2","NAME_BASISWERT3","NAME_BASISWERT4","NAME_BASISWERT5","JAHR","GLIEDERUNG","NUMMER","NAME"
"Gesundheit","Psychologische Psychotherapeuten","Wert","20947.4","104737","5","","","","Hauptwohnsitzbevölkerung","Psychologische Psychotherapeuten","","","","2010","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Gesundheit","Psychologische Psychotherapeuten","Wert","3700.36","51805","14","","","","Hauptwohnsitzbevölkerung","Psychologische Psychotherapeuten","","","","2010","Stadtbezirk","25","25 Laim"
"Gesundheit","Psychologische Psychotherapeuten","Wert","1149.43","56322","49","","","","Hauptwohnsitzbevölkerung","Psychologische Psychotherapeuten","","","","2010","Stadtbezirk","5","05 Au - Haidhausen"
"Gesundheit","Psychologische Psychotherapeuten","Wert","3807.85","49502","13","","","","Hauptwohnsitzbevölkerung","Psychologische Psychotherapeuten","","","","2010","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Gesundheit","Psychologische Psychotherapeuten","Wert","1857.89","1382273","744","","","","Hauptwohnsitzbevölkerung","Psychologische Psychotherapeuten","","","","2010","Gesamtstadt","#100","Stadt München"
"Gesundheit","Psychologische Psychotherapeuten","Wert","240.09","19207","80","","","","Hauptwohnsitzbevölkerung","Psychologische Psychotherapeuten","","","","2010","Stadtbezirk","1","01 Altstadt - Lehel"
"Gesundheit","Psychologische Psychotherapeuten","Wert","751.92","48875","65","","","","Hauptwohnsitzbevölkerung","Psychologische Psychotherapeuten","","","","2010","Stadtbezirk","3","03 Maxvorstadt"
"Gesundheit","Psychologische Psychotherapeuten","Wert","722.48","62856","87","","","","Hauptwohnsitzbevölkerung","Psychologische Psychotherapeuten","","","","2010","Stadtbezirk","4","04 Schwabing - West"
"Gesundheit","Psychologische Psychotherapeuten","Wert","6052.63","48421","8","","","","Hauptwohnsitzbevölkerung","Psychologische Psychotherapeuten","","","","2010","Stadtbezirk","10","10 Moosach"
"Gesundheit","Psychologische Psychotherapeuten","Wert","12551.2","62756","5","","","","Hauptwohnsitzbevölkerung","Psychologische Psychotherapeuten","","","","2010","Stadtbezirk","15","15 Trudering - Riem"
"Gesundheit","Psychologische Psychotherapeuten","Wert","12954.33","38863","3","","","","Hauptwohnsitzbevölkerung","Psychologische Psychotherapeuten","","","","2010","Stadtbezirk","22","22 Aubing - Lochhausen - Langwied"
"Gesundheit","Psychologische Psychotherapeuten","Wert","29161","29161","1","","","","Hauptwohnsitzbevölkerung","Psychologische Psychotherapeuten","","","","2010","Stadtbezirk","23","23 Allach - Untermenzing"
"Gesundheit","Psychologische Psychotherapeuten","Wert","14032.5","56130","4","","","","Hauptwohnsitzbevölkerung","Psychologische Psychotherapeuten","","","","2010","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Gesundheit","Psychologische Psychotherapeuten","Wert","9852.86","68970","7","","","","Hauptwohnsitzbevölkerung","Psychologische Psychotherapeuten","","","","2010","Stadtbezirk","11","11 Milbertshofen - Am Hart"
"Gesundheit","Psychologische Psychotherapeuten","Wert","892.86","89286","100","","","","Hauptwohnsitzbevölkerung","Psychologische Psychotherapeuten","","","","2010","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Gesundheit","Psychologische Psychotherapeuten","Wert","1085.97","65158","60","","","","Hauptwohnsitzbevölkerung","Psychologische Psychotherapeuten","","","","2010","Stadtbezirk","12","12 Schwabing - Freimann"
"Gesundheit","Psychologische Psychotherapeuten","Wert","4903","49030","10","","","","Hauptwohnsitzbevölkerung","Psychologische Psychotherapeuten","","","","2010","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Gesundheit","Psychologische Psychotherapeuten","Wert","3980.19","83584","21","","","","Hauptwohnsitzbevölkerung","Psychologische Psychotherapeuten","","","","2010","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Gesundheit","Psychologische Psychotherapeuten","Wert","4000.57","28004","7","","","","Hauptwohnsitzbevölkerung","Psychologische Psychotherapeuten","","","","2010","Stadtbezirk","8","08 Schwanthalerhöhe"
"Gesundheit","Psychologische Psychotherapeuten","Wert","13516.67","40550","3","","","","Hauptwohnsitzbevölkerung","Psychologische Psychotherapeuten","","","","2010","Stadtbezirk","14","14 Berg am Laim"
"Gesundheit","Psychologische Psychotherapeuten","Wert","5856.38","46851","8","","","","Hauptwohnsitzbevölkerung","Psychologische Psychotherapeuten","","","","2010","Stadtbezirk","20","20 Hadern"
"Gesundheit","Psychologische Psychotherapeuten","Wert","1409.45","66244","47","","","","Hauptwohnsitzbevölkerung","Psychologische Psychotherapeuten","","","","2010","Stadtbezirk","21","21 Pasing - Obermenzing"
"Gesundheit","Psychologische Psychotherapeuten","Wert","514.75","47357","92","","","","Hauptwohnsitzbevölkerung","Psychologische Psychotherapeuten","","","","2010","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Gesundheit","Psychologische Psychotherapeuten","Wert","2410.44","38567","16","","","","Hauptwohnsitzbevölkerung","Psychologische Psychotherapeuten","","","","2010","Stadtbezirk","6","06 Sendling"
"Gesundheit","Psychologische Psychotherapeuten","Wert","3749.64","52495","14","","","","Hauptwohnsitzbevölkerung","Psychologische Psychotherapeuten","","","","2010","Stadtbezirk","7","07 Sendling - Westpark"
"Gesundheit","Psychologische Psychotherapeuten","Wert","3101.68","77542","25","","","","Hauptwohnsitzbevölkerung","Psychologische Psychotherapeuten","","","","2010","Stadtbezirk","13","13 Bogenhausen"
"Gesundheit","Psychologische Psychotherapeuten","Wert","4605.09","50656","11","","","","Hauptwohnsitzbevölkerung","Psychologische Psychotherapeuten","","","","2011","Stadtbezirk","17","17 Obergiesing - Fasangarten"
