"INDIKATOR_GRUPPE","INDIKATOR_BEZEICHNUNG","INDIKATOR_AUSPRAEGUNG","INDIKATOR_WERT","BASISWERT_1","BASISWERT_2","BASISWERT_3","BASISWERT_4","BASISWERT_5","NAME_BASISWERT1","NAME_BASISWERT2","NAME_BASISWERT3","NAME_BASISWERT4","NAME_BASISWERT5","JAHR","GLIEDERUNG","NUMMER","NAME"
"Verkehr","Motorisierungsgrad","gesamt","51","24725","48448","","","","alle zugelassenen Personenkraftwagen und Krafträder","Einwohner_innen mit Hauptwohnsitz","","","","2002","Stadtbezirk","7","07 Sendling - Westpark"
"Verkehr","Motorisierungsgrad","gesamt","102.1","18569","18193","","","","alle zugelassenen Personenkraftwagen und Krafträder","Einwohner_innen mit Hauptwohnsitz","","","","2002","Stadtbezirk","1","01 Altstadt - Lehel"
"Verkehr","Motorisierungsgrad","privat","38.8","14637","37769","","","","privat zugelassene Personenkraftwagen und Krafträder ","Einwohner_innen mit Hauptwohnsitz","","","","2002","Stadtbezirk","14","14 Berg am Laim"
"Verkehr","Motorisierungsgrad","gesamt","45.8","20200","44059","","","","alle zugelassenen Personenkraftwagen und Krafträder","Einwohner_innen mit Hauptwohnsitz","","","","2002","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Verkehr","Motorisierungsgrad","privat","42.2","17969","42563","","","","privat zugelassene Personenkraftwagen und Krafträder ","Einwohner_innen mit Hauptwohnsitz","","","","2002","Stadtbezirk","20","20 Hadern"
"Verkehr","Motorisierungsgrad","gesamt","53.7","41692","77659","","","","alle zugelassenen Personenkraftwagen und Krafträder","Einwohner_innen mit Hauptwohnsitz","","","","2002","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Verkehr","Motorisierungsgrad","privat","41.4","19183","46333","","","","privat zugelassene Personenkraftwagen und Krafträder ","Einwohner_innen mit Hauptwohnsitz","","","","2002","Stadtbezirk","10","10 Moosach"
"Verkehr","Motorisierungsgrad","privat","35.1","14588","41606","","","","privat zugelassene Personenkraftwagen und Krafträder ","Einwohner_innen mit Hauptwohnsitz","","","","2002","Stadtbezirk","3","03 Maxvorstadt"
"Verkehr","Motorisierungsgrad","gesamt","38","19741","52000","","","","alle zugelassenen Personenkraftwagen und Krafträder","Einwohner_innen mit Hauptwohnsitz","","","","2002","Stadtbezirk","5","05 Au - Haidhausen"
"Verkehr","Motorisierungsgrad","gesamt","46","22362","48606","","","","alle zugelassenen Personenkraftwagen und Krafträder","Einwohner_innen mit Hauptwohnsitz","","","","2002","Stadtbezirk","25","25 Laim"
"Verkehr","Motorisierungsgrad","privat","44.2","26809","60616","","","","privat zugelassene Personenkraftwagen und Krafträder ","Einwohner_innen mit Hauptwohnsitz","","","","2002","Stadtbezirk","21","21 Pasing - Obermenzing"
"Verkehr","Motorisierungsgrad","privat","37.4","20286","54272","","","","privat zugelassene Personenkraftwagen und Krafträder ","Einwohner_innen mit Hauptwohnsitz","","","","2002","Stadtbezirk","4","04 Schwabing - West"
"Verkehr","Motorisierungsgrad","privat","39.8","19296","48448","","","","privat zugelassene Personenkraftwagen und Krafträder ","Einwohner_innen mit Hauptwohnsitz","","","","2002","Stadtbezirk","7","07 Sendling - Westpark"
