"INDIKATOR_GRUPPE","INDIKATOR_BEZEICHNUNG","INDIKATOR_AUSPRAEGUNG","INDIKATOR_WERT","BASISWERT_1","BASISWERT_2","BASISWERT_3","BASISWERT_4","BASISWERT_5","NAME_BASISWERT1","NAME_BASISWERT2","NAME_BASISWERT3","NAME_BASISWERT4","NAME_BASISWERT5","JAHR","GLIEDERUNG","NUMMER","NAME"
"Bevölkerung","Religionszugehörigkeit","evangelisch","12,4","4581","37026","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","","","2000","Stadtbezirk","14","14 Berg am Laim"
"Bevölkerung","Religionszugehörigkeit","römisch-katholisch","46,9","24602","52413","","","","Bevölkerung mit römisch-katholischer Konfession","Hauptwohnsitzbevölkerung","","","","2000","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Bevölkerung","Religionszugehörigkeit","evangelisch","14,1","7385","52413","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","","","2000","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Bevölkerung","Religionszugehörigkeit","sonstige","39,9","28296","70984","","","","Bevölkerung mit sonstiger Konfession","Hauptwohnsitzbevölkerung","","","","2000","Stadtbezirk","13","13 Bogenhausen"
"Bevölkerung","Religionszugehörigkeit","sonstige","39","20426","52413","","","","Bevölkerung mit sonstiger Konfession","Hauptwohnsitzbevölkerung","","","","2000","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Bevölkerung","Religionszugehörigkeit","sonstige","33,9","12703","37423","","","","Bevölkerung mit sonstiger Konfession","Hauptwohnsitzbevölkerung","","","","2000","Stadtbezirk","22","22 Aubing - Lochhausen - Langwied"
"Bevölkerung","Religionszugehörigkeit","römisch-katholisch","43,8","21185","48388","","","","Bevölkerung mit römisch-katholischer Konfession","Hauptwohnsitzbevölkerung","","","","2000","Stadtbezirk","7","07 Sendling - Westpark"
"Bevölkerung","Religionszugehörigkeit","evangelisch","16,2","2982","18374","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","","","2000","Stadtbezirk","1","01 Altstadt - Lehel"
"Bevölkerung","Religionszugehörigkeit","römisch-katholisch","39,5","23810","60225","","","","Bevölkerung mit römisch-katholischer Konfession","Hauptwohnsitzbevölkerung","","","","2000","Stadtbezirk","11","11 Milbertshofen - Am Hart"
"Bevölkerung","Religionszugehörigkeit","evangelisch","13,4","13391","99995","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","","","2000","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Bevölkerung","Religionszugehörigkeit","römisch-katholisch","45,3","20622","45507","","","","Bevölkerung mit römisch-katholischer Konfession","Hauptwohnsitzbevölkerung","","","","2000","Stadtbezirk","10","10 Moosach"
"Bevölkerung","Religionszugehörigkeit","römisch-katholisch","43,5","33407","76762","","","","Bevölkerung mit römisch-katholischer Konfession","Hauptwohnsitzbevölkerung","","","","2000","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Bevölkerung","Religionszugehörigkeit","sonstige","40,5","18438","45507","","","","Bevölkerung mit sonstiger Konfession","Hauptwohnsitzbevölkerung","","","","2000","Stadtbezirk","10","10 Moosach"
"Bevölkerung","Religionszugehörigkeit","sonstige","38,8","29767","76762","","","","Bevölkerung mit sonstiger Konfession","Hauptwohnsitzbevölkerung","","","","2000","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Bevölkerung","Religionszugehörigkeit","evangelisch","14,4","5384","37423","","","","Bevölkerung mit evangelischer Konfession","Hauptwohnsitzbevölkerung","","","","2000","Stadtbezirk","22","22 Aubing - Lochhausen - Langwied"
"Bevölkerung","Religionszugehörigkeit","sonstige","44,9","23355","52028","","","","Bevölkerung mit sonstiger Konfession","Hauptwohnsitzbevölkerung","","","","2000","Stadtbezirk","5","05 Au - Haidhausen"
"Bevölkerung","Religionszugehörigkeit","sonstige","42,7","24600","57653","","","","Bevölkerung mit sonstiger Konfession","Hauptwohnsitzbevölkerung","","","","2000","Stadtbezirk","12","12 Schwabing - Freimann"
"Bevölkerung","Religionszugehörigkeit","sonstige","41,4","516506","1247934","","","","Bevölkerung mit sonstiger Konfession","Hauptwohnsitzbevölkerung","","","","2000","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Religionszugehörigkeit","sonstige","37","22121","59758","","","","Bevölkerung mit sonstiger Konfession","Hauptwohnsitzbevölkerung","","","","2000","Stadtbezirk","21","21 Pasing - Obermenzing"
"Bevölkerung","Religionszugehörigkeit","sonstige","34,8","14963","43003","","","","Bevölkerung mit sonstiger Konfession","Hauptwohnsitzbevölkerung","","","","2000","Stadtbezirk","15","15 Trudering - Riem"
"Bevölkerung","Religionszugehörigkeit","römisch-katholisch","38,5","20708","53789","","","","Bevölkerung mit römisch-katholischer Konfession","Hauptwohnsitzbevölkerung","","","","2000","Stadtbezirk","4","04 Schwabing - West"
"Bevölkerung","Religionszugehörigkeit","römisch-katholisch","51,7","19336","37423","","","","Bevölkerung mit römisch-katholischer Konfession","Hauptwohnsitzbevölkerung","","","","2000","Stadtbezirk","22","22 Aubing - Lochhausen - Langwied"
