"INDIKATOR_GRUPPE","INDIKATOR_BEZEICHNUNG","INDIKATOR_AUSPRAEGUNG","INDIKATOR_WERT","BASISWERT_1","BASISWERT_2","BASISWERT_3","BASISWERT_4","BASISWERT_5","NAME_BASISWERT1","NAME_BASISWERT2","NAME_BASISWERT3","NAME_BASISWERT4","NAME_BASISWERT5","JAHR","GLIEDERUNG","NUMMER","NAME"
"Bevölkerung","Rohe Geburtenrate","gesamt","10,6","627","59320,4","","","","Anzahl der Geburten","Anzahl aller Einwohner_innen","","","","2000","Stadtbezirk","21","21 Pasing - Obermenzing"
"Bevölkerung","Rohe Geburtenrate","deutsch","7,3","538","74196,7","","","","Anzahl der Geburten deutscher Mütter","Anzahl deutsche Einwohner_innen","","","","2000","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Bevölkerung","Rohe Geburtenrate","gesamt","10,2","489","48167,9","","","","Anzahl der Geburten","Anzahl aller Einwohner_innen","","","","2000","Stadtbezirk","7","07 Sendling - Westpark"
"Bevölkerung","Rohe Geburtenrate","ausländisch","16,8","97","5773,8","","","","Anzahl der Geburten ausländischer Mütter","Anzahl ausländische ausländische Einwohner_innen","","","","2000","Stadtbezirk","15","15 Trudering - Riem"
"Bevölkerung","Rohe Geburtenrate","ausländisch","16,7","108","6469","","","","Anzahl der Geburten ausländischer Mütter","Anzahl ausländische ausländische Einwohner_innen","","","","2000","Stadtbezirk","22","22 Aubing - Lochhausen - Langwied"
"Bevölkerung","Rohe Geburtenrate","ausländisch","13,8","118","8522,9","","","","Anzahl der Geburten ausländischer Mütter","Anzahl ausländische ausländische Einwohner_innen","","","","2000","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Bevölkerung","Rohe Geburtenrate","ausländisch","14,5","183","12635,6","","","","Anzahl der Geburten ausländischer Mütter","Anzahl ausländische ausländische Einwohner_innen","","","","2000","Stadtbezirk","12","12 Schwabing - Freimann"
"Bevölkerung","Rohe Geburtenrate","ausländisch","18,5","177","9568,8","","","","Anzahl der Geburten ausländischer Mütter","Anzahl ausländische ausländische Einwohner_innen","","","","2000","Stadtbezirk","21","21 Pasing - Obermenzing"
"Bevölkerung","Rohe Geburtenrate","ausländisch","19,3","202","10484,4","","","","Anzahl der Geburten ausländischer Mütter","Anzahl ausländische ausländische Einwohner_innen","","","","2000","Stadtbezirk","10","10 Moosach"
"Bevölkerung","Rohe Geburtenrate","ausländisch","17,3","82","4744,5","","","","Anzahl der Geburten ausländischer Mütter","Anzahl ausländische ausländische Einwohner_innen","","","","2000","Stadtbezirk","23","23 Allach - Untermenzing"
"Bevölkerung","Rohe Geburtenrate","deutsch","8,1","305","37547,3","","","","Anzahl der Geburten deutscher Mütter","Anzahl deutsche Einwohner_innen","","","","2000","Stadtbezirk","7","07 Sendling - Westpark"
"Bevölkerung","Rohe Geburtenrate","deutsch","9,6","373","38672,4","","","","Anzahl der Geburten deutscher Mütter","Anzahl deutsche Einwohner_innen","","","","2000","Stadtbezirk","5","05 Au - Haidhausen"
"Bevölkerung","Rohe Geburtenrate","ausländisch","12,1","123","10130,9","","","","Anzahl der Geburten ausländischer Mütter","Anzahl ausländische ausländische Einwohner_innen","","","","2000","Stadtbezirk","8","08 Schwanthalerhöhe"
"Bevölkerung","Rohe Geburtenrate","deutsch","8,8","563","63769,3","","","","Anzahl der Geburten deutscher Mütter","Anzahl deutsche Einwohner_innen","","","","2000","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Bevölkerung","Rohe Geburtenrate","ausländisch","13,8","164","11905,2","","","","Anzahl der Geburten ausländischer Mütter","Anzahl ausländische ausländische Einwohner_innen","","","","2000","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Bevölkerung","Rohe Geburtenrate","deutsch","7,3","251","34475,7","","","","Anzahl der Geburten deutscher Mütter","Anzahl deutsche Einwohner_innen","","","","2000","Stadtbezirk","10","10 Moosach"
"Bevölkerung","Rohe Geburtenrate","deutsch","7,6","339","44804,9","","","","Anzahl der Geburten deutscher Mütter","Anzahl deutsche Einwohner_innen","","","","2000","Stadtbezirk","12","12 Schwabing - Freimann"
"Bevölkerung","Rohe Geburtenrate","gesamt","9,8","474","48431","","","","Anzahl der Geburten","Anzahl aller Einwohner_innen","","","","2000","Stadtbezirk","25","25 Laim"
"Bevölkerung","Rohe Geburtenrate","deutsch","9","450","49751,7","","","","Anzahl der Geburten deutscher Mütter","Anzahl deutsche Einwohner_innen","","","","2000","Stadtbezirk","21","21 Pasing - Obermenzing"
"Bevölkerung","Rohe Geburtenrate","ausländisch","10,1","104","10324,3","","","","Anzahl der Geburten ausländischer Mütter","Anzahl ausländische ausländische Einwohner_innen","","","","2000","Stadtbezirk","3","03 Maxvorstadt"
"Bevölkerung","Rohe Geburtenrate","gesamt","9,2","920","99629,1","","","","Anzahl der Geburten","Anzahl aller Einwohner_innen","","","","2000","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Bevölkerung","Rohe Geburtenrate","ausländisch","17,6","352","19962,3","","","","Anzahl der Geburten ausländischer Mütter","Anzahl ausländische ausländische Einwohner_innen","","","","2000","Stadtbezirk","11","11 Milbertshofen - Am Hart"
"Bevölkerung","Rohe Geburtenrate","ausländisch","17,7","131","7415,7","","","","Anzahl der Geburten ausländischer Mütter","Anzahl ausländische ausländische Einwohner_innen","","","","2000","Stadtbezirk","20","20 Hadern"
"Bevölkerung","Rohe Geburtenrate","ausländisch","11,9","158","13253,2","","","","Anzahl der Geburten ausländischer Mütter","Anzahl ausländische ausländische Einwohner_innen","","","","2000","Stadtbezirk","5","05 Au - Haidhausen"
"Bevölkerung","Rohe Geburtenrate","ausländisch","16,4","186","11368,3","","","","Anzahl der Geburten ausländischer Mütter","Anzahl ausländische ausländische Einwohner_innen","","","","2000","Stadtbezirk","13","13 Bogenhausen"
"Bevölkerung","Rohe Geburtenrate","deutsch","9,1","272","29805,5","","","","Anzahl der Geburten deutscher Mütter","Anzahl deutsche Einwohner_innen","","","","2000","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Bevölkerung","Rohe Geburtenrate","ausländisch","18","171","9523,5","","","","Anzahl der Geburten ausländischer Mütter","Anzahl ausländische ausländische Einwohner_innen","","","","2000","Stadtbezirk","25","25 Laim"
"Bevölkerung","Rohe Geburtenrate","ausländisch","15,5","4332","279435,8","","","","Anzahl der Geburten ausländischer Mütter","Anzahl ausländische ausländische Einwohner_innen","","","","2000","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Rohe Geburtenrate","gesamt","9,3","653","70491,8","","","","Anzahl der Geburten","Anzahl aller Einwohner_innen","","","","2000","Stadtbezirk","13","13 Bogenhausen"
"Bevölkerung","Rohe Geburtenrate","deutsch","7,4","287","38928,8","","","","Anzahl der Geburten deutscher Mütter","Anzahl deutsche Einwohner_innen","","","","2000","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Bevölkerung","Rohe Geburtenrate","deutsch","7,7","329","42507,3","","","","Anzahl der Geburten deutscher Mütter","Anzahl deutsche Einwohner_innen","","","","2000","Stadtbezirk","4","04 Schwabing - West"
"Bevölkerung","Rohe Geburtenrate","deutsch","8,2","7862","960111,4","","","","Anzahl der Geburten deutscher Mütter","Anzahl deutsche Einwohner_innen","","","","2000","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Rohe Geburtenrate","gesamt","10,5","856","81545","","","","Anzahl der Geburten","Anzahl aller Einwohner_innen","","","","2000","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Bevölkerung","Rohe Geburtenrate","gesamt","10,7","638","59660,1","","","","Anzahl der Geburten","Anzahl aller Einwohner_innen","","","","2000","Stadtbezirk","11","11 Milbertshofen - Am Hart"
"Bevölkerung","Rohe Geburtenrate","gesamt","9","396","43770,2","","","","Anzahl der Geburten","Anzahl aller Einwohner_innen","","","","2000","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Bevölkerung","Rohe Geburtenrate","gesamt","9,4","345","36581,6","","","","Anzahl der Geburten","Anzahl aller Einwohner_innen","","","","2000","Stadtbezirk","14","14 Berg am Laim"
"Bevölkerung","Rohe Geburtenrate","gesamt","9,7","258","26681,8","","","","Anzahl der Geburten","Anzahl aller Einwohner_innen","","","","2000","Stadtbezirk","23","23 Allach - Untermenzing"
"Bevölkerung","Rohe Geburtenrate","ausländisch","17,8","229","12842,6","","","","Anzahl der Geburten ausländischer Mütter","Anzahl ausländische ausländische Einwohner_innen","","","","2000","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Bevölkerung","Rohe Geburtenrate","gesamt","10,1","453","44960,1","","","","Anzahl der Geburten","Anzahl aller Einwohner_innen","","","","2000","Stadtbezirk","10","10 Moosach"
"Bevölkerung","Rohe Geburtenrate","ausländisch","12,7","139","10945,3","","","","Anzahl der Geburten ausländischer Mütter","Anzahl ausländische ausländische Einwohner_innen","","","","2000","Stadtbezirk","4","04 Schwabing - West"
"Bevölkerung","Rohe Geburtenrate","gesamt","12,3","422","34372,3","","","","Anzahl der Geburten","Anzahl aller Einwohner_innen","","","","2000","Stadtbezirk","6","06 Sendling"
"Bevölkerung","Rohe Geburtenrate","gesamt","10,2","531","51925,6","","","","Anzahl der Geburten","Anzahl aller Einwohner_innen","","","","2000","Stadtbezirk","5","05 Au - Haidhausen"
"Bevölkerung","Rohe Geburtenrate","gesamt","10","439","43976,2","","","","Anzahl der Geburten","Anzahl aller Einwohner_innen","","","","2000","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Bevölkerung","Rohe Geburtenrate","gesamt","9,1","522","57440,5","","","","Anzahl der Geburten","Anzahl aller Einwohner_innen","","","","2000","Stadtbezirk","12","12 Schwabing - Freimann"
"Bevölkerung","Rohe Geburtenrate","deutsch","6,9","191","27607,9","","","","Anzahl der Geburten deutscher Mütter","Anzahl deutsche Einwohner_innen","","","","2000","Stadtbezirk","14","14 Berg am Laim"
"Bevölkerung","Rohe Geburtenrate","gesamt","9,4","714","76116,6","","","","Anzahl der Geburten","Anzahl aller Einwohner_innen","","","","2000","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Bevölkerung","Rohe Geburtenrate","deutsch","7,8","303","38907,5","","","","Anzahl der Geburten deutscher Mütter","Anzahl deutsche Einwohner_innen","","","","2000","Stadtbezirk","25","25 Laim"
"Bevölkerung","Rohe Geburtenrate","ausländisch","15","382","25432,4","","","","Anzahl der Geburten ausländischer Mütter","Anzahl ausländische ausländische Einwohner_innen","","","","2000","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Bevölkerung","Rohe Geburtenrate","deutsch","8","176","21937,3","","","","Anzahl der Geburten deutscher Mütter","Anzahl deutsche Einwohner_innen","","","","2000","Stadtbezirk","23","23 Allach - Untermenzing"
"Bevölkerung","Rohe Geburtenrate","deutsch","8","504","62713,2","","","","Anzahl der Geburten deutscher Mütter","Anzahl deutsche Einwohner_innen","","","","2000","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Bevölkerung","Rohe Geburtenrate","ausländisch","16,5","293","17775,7","","","","Anzahl der Geburten ausländischer Mütter","Anzahl ausländische ausländische Einwohner_innen","","","","2000","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Bevölkerung","Rohe Geburtenrate","gesamt","9,1","377","41460,9","","","","Anzahl der Geburten","Anzahl aller Einwohner_innen","","","","2000","Stadtbezirk","20","20 Hadern"
"Bevölkerung","Rohe Geburtenrate","ausländisch","12","50","4155,5","","","","Anzahl der Geburten ausländischer Mütter","Anzahl ausländische ausländische Einwohner_innen","","","","2000","Stadtbezirk","1","01 Altstadt - Lehel"
"Bevölkerung","Rohe Geburtenrate","deutsch","10,8","392","36447,4","","","","Anzahl der Geburten deutscher Mütter","Anzahl deutsche Einwohner_innen","","","","2000","Stadtbezirk","15","15 Trudering - Riem"
"Bevölkerung","Rohe Geburtenrate","gesamt","9,7","446","45820,3","","","","Anzahl der Geburten","Anzahl aller Einwohner_innen","","","","2000","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Bevölkerung","Rohe Geburtenrate","deutsch","7,2","286","39697,8","","","","Anzahl der Geburten deutscher Mütter","Anzahl deutsche Einwohner_innen","","","","2000","Stadtbezirk","11","11 Milbertshofen - Am Hart"
"Bevölkerung","Rohe Geburtenrate","deutsch","7,5","231","30745,9","","","","Anzahl der Geburten deutscher Mütter","Anzahl deutsche Einwohner_innen","","","","2000","Stadtbezirk","22","22 Aubing - Lochhausen - Langwied"
"Bevölkerung","Rohe Geburtenrate","deutsch","7,2","246","34045,3","","","","Anzahl der Geburten deutscher Mütter","Anzahl deutsche Einwohner_innen","","","","2000","Stadtbezirk","20","20 Hadern"
"Bevölkerung","Rohe Geburtenrate","ausländisch","17,2","154","8973,7","","","","Anzahl der Geburten ausländischer Mütter","Anzahl ausländische ausländische Einwohner_innen","","","","2000","Stadtbezirk","14","14 Berg am Laim"
"Bevölkerung","Rohe Geburtenrate","deutsch","8,8","328","37297,4","","","","Anzahl der Geburten deutscher Mütter","Anzahl deutsche Einwohner_innen","","","","2000","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Bevölkerung","Rohe Geburtenrate","gesamt","9,1","378","41461,3","","","","Anzahl der Geburten","Anzahl aller Einwohner_innen","","","","2000","Stadtbezirk","3","03 Maxvorstadt"
"Bevölkerung","Rohe Geburtenrate","deutsch","9,1","134","14651,5","","","","Anzahl der Geburten deutscher Mütter","Anzahl deutsche Einwohner_innen","","","","2000","Stadtbezirk","8","08 Schwanthalerhöhe"
"Bevölkerung","Rohe Geburtenrate","ausländisch","11,8","167","14170,7","","","","Anzahl der Geburten ausländischer Mütter","Anzahl ausländische ausländische Einwohner_innen","","","","2000","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Bevölkerung","Rohe Geburtenrate","gesamt","11,6","489","42221,2","","","","Anzahl der Geburten","Anzahl aller Einwohner_innen","","","","2000","Stadtbezirk","15","15 Trudering - Riem"
"Bevölkerung","Rohe Geburtenrate","ausländisch","17,3","184","10620,7","","","","Anzahl der Geburten ausländischer Mütter","Anzahl ausländische ausländische Einwohner_innen","","","","2000","Stadtbezirk","7","07 Sendling - Westpark"
"Bevölkerung","Rohe Geburtenrate","ausländisch","18,7","168","9003,4","","","","Anzahl der Geburten ausländischer Mütter","Anzahl ausländische ausländische Einwohner_innen","","","","2000","Stadtbezirk","6","06 Sendling"
"Bevölkerung","Rohe Geburtenrate","deutsch","7,3","232","31865","","","","Anzahl der Geburten deutscher Mütter","Anzahl deutsche Einwohner_innen","","","","2000","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Bevölkerung","Rohe Geburtenrate","gesamt","10,3","187","18228,9","","","","Anzahl der Geburten","Anzahl aller Einwohner_innen","","","","2000","Stadtbezirk","1","01 Altstadt - Lehel"
"Bevölkerung","Rohe Geburtenrate","gesamt","9,1","339","37214,9","","","","Anzahl der Geburten","Anzahl aller Einwohner_innen","","","","2000","Stadtbezirk","22","22 Aubing - Lochhausen - Langwied"
"Bevölkerung","Rohe Geburtenrate","gesamt","10,4","257","24782,4","","","","Anzahl der Geburten","Anzahl aller Einwohner_innen","","","","2000","Stadtbezirk","8","08 Schwanthalerhöhe"
"Bevölkerung","Rohe Geburtenrate","ausländisch","15,7","210","13403,4","","","","Anzahl der Geburten ausländischer Mütter","Anzahl ausländische ausländische Einwohner_innen","","","","2000","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Bevölkerung","Rohe Geburtenrate","deutsch","10","254","25368,9","","","","Anzahl der Geburten deutscher Mütter","Anzahl deutsche Einwohner_innen","","","","2000","Stadtbezirk","6","06 Sendling"
"Bevölkerung","Rohe Geburtenrate","deutsch","7,9","467","59123,6","","","","Anzahl der Geburten deutscher Mütter","Anzahl deutsche Einwohner_innen","","","","2000","Stadtbezirk","13","13 Bogenhausen"
"Bevölkerung","Rohe Geburtenrate","deutsch","9,7","137","14073,4","","","","Anzahl der Geburten deutscher Mütter","Anzahl deutsche Einwohner_innen","","","","2000","Stadtbezirk","1","01 Altstadt - Lehel"
"Bevölkerung","Rohe Geburtenrate","deutsch","8,8","274","31137","","","","Anzahl der Geburten deutscher Mütter","Anzahl deutsche Einwohner_innen","","","","2000","Stadtbezirk","3","03 Maxvorstadt"
"Bevölkerung","Rohe Geburtenrate","gesamt","9,8","12194","1239547,2","","","","Anzahl der Geburten","Anzahl aller Einwohner_innen","","","","2000","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Rohe Geburtenrate","gesamt","10","516","51771,4","","","","Anzahl der Geburten","Anzahl aller Einwohner_innen","","","","2000","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Bevölkerung","Rohe Geburtenrate","gesamt","8,8","468","53452,6","","","","Anzahl der Geburten","Anzahl aller Einwohner_innen","","","","2000","Stadtbezirk","4","04 Schwabing - West"
"Bevölkerung","Rohe Geburtenrate","ausländisch","16,3","196","12043,3","","","","Anzahl der Geburten ausländischer Mütter","Anzahl ausländische ausländische Einwohner_innen","","","","2001","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Bevölkerung","Rohe Geburtenrate","gesamt","8,8","429","48500,9","","","","Anzahl der Geburten","Anzahl aller Einwohner_innen","","","","2001","Stadtbezirk","7","07 Sendling - Westpark"
"Bevölkerung","Rohe Geburtenrate","deutsch","8,2","7914","970182,7","","","","Anzahl der Geburten deutscher Mütter","Anzahl deutsche Einwohner_innen","","","","2001","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Rohe Geburtenrate","gesamt","9,1","645","71236,6","","","","Anzahl der Geburten","Anzahl aller Einwohner_innen","","","","2001","Stadtbezirk","13","13 Bogenhausen"
"Bevölkerung","Rohe Geburtenrate","deutsch","7,5","291","38951,7","","","","Anzahl der Geburten deutscher Mütter","Anzahl deutsche Einwohner_innen","","","","2001","Stadtbezirk","25","25 Laim"
"Bevölkerung","Rohe Geburtenrate","deutsch","7,3","547","74594,1","","","","Anzahl der Geburten deutscher Mütter","Anzahl deutsche Einwohner_innen","","","","2001","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Bevölkerung","Rohe Geburtenrate","ausländisch","13,9","180","12985,8","","","","Anzahl der Geburten ausländischer Mütter","Anzahl ausländische ausländische Einwohner_innen","","","","2001","Stadtbezirk","12","12 Schwabing - Freimann"
"Bevölkerung","Rohe Geburtenrate","ausländisch","18,1","197","10855,3","","","","Anzahl der Geburten ausländischer Mütter","Anzahl ausländische ausländische Einwohner_innen","","","","2001","Stadtbezirk","10","10 Moosach"
"Bevölkerung","Rohe Geburtenrate","gesamt","9,9","265","26721,5","","","","Anzahl der Geburten","Anzahl aller Einwohner_innen","","","","2001","Stadtbezirk","23","23 Allach - Untermenzing"
"Bevölkerung","Rohe Geburtenrate","deutsch","7,8","466","59543,3","","","","Anzahl der Geburten deutscher Mütter","Anzahl deutsche Einwohner_innen","","","","2001","Stadtbezirk","13","13 Bogenhausen"
"Bevölkerung","Rohe Geburtenrate","gesamt","9,7","12169","1255124,3","","","","Anzahl der Geburten","Anzahl aller Einwohner_innen","","","","2001","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Rohe Geburtenrate","deutsch","9,1","135","14793,5","","","","Anzahl der Geburten deutscher Mütter","Anzahl deutsche Einwohner_innen","","","","2001","Stadtbezirk","8","08 Schwanthalerhöhe"
"Bevölkerung","Rohe Geburtenrate","gesamt","10,2","381","37399,7","","","","Anzahl der Geburten","Anzahl aller Einwohner_innen","","","","2001","Stadtbezirk","14","14 Berg am Laim"
"Bevölkerung","Rohe Geburtenrate","ausländisch","16,6","77","4645,2","","","","Anzahl der Geburten ausländischer Mütter","Anzahl ausländische ausländische Einwohner_innen","","","","2001","Stadtbezirk","23","23 Allach - Untermenzing"
"Bevölkerung","Rohe Geburtenrate","deutsch","6,5","261","40407,5","","","","Anzahl der Geburten deutscher Mütter","Anzahl deutsche Einwohner_innen","","","","2001","Stadtbezirk","11","11 Milbertshofen - Am Hart"
"Bevölkerung","Rohe Geburtenrate","gesamt","9,9","520","52605,7","","","","Anzahl der Geburten","Anzahl aller Einwohner_innen","","","","2001","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Bevölkerung","Rohe Geburtenrate","gesamt","11,8","522","44353,2","","","","Anzahl der Geburten","Anzahl aller Einwohner_innen","","","","2001","Stadtbezirk","15","15 Trudering - Riem"
"Bevölkerung","Rohe Geburtenrate","deutsch","10","390","38870,1","","","","Anzahl der Geburten deutscher Mütter","Anzahl deutsche Einwohner_innen","","","","2001","Stadtbezirk","5","05 Au - Haidhausen"
"Bevölkerung","Rohe Geburtenrate","ausländisch","16,9","221","13063,9","","","","Anzahl der Geburten ausländischer Mütter","Anzahl ausländische ausländische Einwohner_innen","","","","2001","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Bevölkerung","Rohe Geburtenrate","gesamt","9,1","420","46338,6","","","","Anzahl der Geburten","Anzahl aller Einwohner_innen","","","","2001","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Bevölkerung","Rohe Geburtenrate","deutsch","8","225","27989,4","","","","Anzahl der Geburten deutscher Mütter","Anzahl deutsche Einwohner_innen","","","","2001","Stadtbezirk","14","14 Berg am Laim"
"Bevölkerung","Rohe Geburtenrate","deutsch","8,6","550","64122,1","","","","Anzahl der Geburten deutscher Mütter","Anzahl deutsche Einwohner_innen","","","","2001","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Bevölkerung","Rohe Geburtenrate","deutsch","7,8","333","42619,7","","","","Anzahl der Geburten deutscher Mütter","Anzahl deutsche Einwohner_innen","","","","2001","Stadtbezirk","4","04 Schwabing - West"
"Bevölkerung","Rohe Geburtenrate","deutsch","8,5","188","22076,3","","","","Anzahl der Geburten deutscher Mütter","Anzahl deutsche Einwohner_innen","","","","2001","Stadtbezirk","23","23 Allach - Untermenzing"
"Bevölkerung","Rohe Geburtenrate","deutsch","7","245","34972,9","","","","Anzahl der Geburten deutscher Mütter","Anzahl deutsche Einwohner_innen","","","","2001","Stadtbezirk","10","10 Moosach"
"Bevölkerung","Rohe Geburtenrate","gesamt","9,6","581","60590","","","","Anzahl der Geburten","Anzahl aller Einwohner_innen","","","","2001","Stadtbezirk","11","11 Milbertshofen - Am Hart"
"Bevölkerung","Rohe Geburtenrate","deutsch","8,3","379","45485,5","","","","Anzahl der Geburten deutscher Mütter","Anzahl deutsche Einwohner_innen","","","","2001","Stadtbezirk","12","12 Schwabing - Freimann"
"Bevölkerung","Rohe Geburtenrate","deutsch","8,8","227","25800,6","","","","Anzahl der Geburten deutscher Mütter","Anzahl deutsche Einwohner_innen","","","","2001","Stadtbezirk","6","06 Sendling"
"Bevölkerung","Rohe Geburtenrate","ausländisch","10,9","155","14263,8","","","","Anzahl der Geburten ausländischer Mütter","Anzahl ausländische ausländische Einwohner_innen","","","","2001","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Bevölkerung","Rohe Geburtenrate","gesamt","9,4","945","100453,3","","","","Anzahl der Geburten","Anzahl aller Einwohner_innen","","","","2001","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Bevölkerung","Rohe Geburtenrate","gesamt","9,6","559","58471,3","","","","Anzahl der Geburten","Anzahl aller Einwohner_innen","","","","2001","Stadtbezirk","12","12 Schwabing - Freimann"
"Bevölkerung","Rohe Geburtenrate","gesamt","8,7","471","54075","","","","Anzahl der Geburten","Anzahl aller Einwohner_innen","","","","2001","Stadtbezirk","4","04 Schwabing - West"
"Bevölkerung","Rohe Geburtenrate","ausländisch","15","114","7583,6","","","","Anzahl der Geburten ausländischer Mütter","Anzahl ausländische ausländische Einwohner_innen","","","","2001","Stadtbezirk","20","20 Hadern"
"Bevölkerung","Rohe Geburtenrate","ausländisch","15,7","214","13673,8","","","","Anzahl der Geburten ausländischer Mütter","Anzahl ausländische ausländische Einwohner_innen","","","","2001","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Bevölkerung","Rohe Geburtenrate","ausländisch","13,5","176","13082","","","","Anzahl der Geburten ausländischer Mütter","Anzahl ausländische ausländische Einwohner_innen","","","","2001","Stadtbezirk","5","05 Au - Haidhausen"
"Bevölkerung","Rohe Geburtenrate","ausländisch","18","175","9720,3","","","","Anzahl der Geburten ausländischer Mütter","Anzahl ausländische ausländische Einwohner_innen","","","","2001","Stadtbezirk","25","25 Laim"
"Bevölkerung","Rohe Geburtenrate","gesamt","9,6","466","48672","","","","Anzahl der Geburten","Anzahl aller Einwohner_innen","","","","2001","Stadtbezirk","25","25 Laim"
"Bevölkerung","Rohe Geburtenrate","ausländisch","12","138","11455,3","","","","Anzahl der Geburten ausländischer Mütter","Anzahl ausländische ausländische Einwohner_innen","","","","2001","Stadtbezirk","4","04 Schwabing - West"
"Bevölkerung","Rohe Geburtenrate","deutsch","10,4","317","30374,2","","","","Anzahl der Geburten deutscher Mütter","Anzahl deutsche Einwohner_innen","","","","2001","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Bevölkerung","Rohe Geburtenrate","gesamt","9,6","442","45828,2","","","","Anzahl der Geburten","Anzahl aller Einwohner_innen","","","","2001","Stadtbezirk","10","10 Moosach"
"Bevölkerung","Rohe Geburtenrate","gesamt","9,3","350","37630,7","","","","Anzahl der Geburten","Anzahl aller Einwohner_innen","","","","2001","Stadtbezirk","22","22 Aubing - Lochhausen - Langwied"
"Bevölkerung","Rohe Geburtenrate","gesamt","10,3","844","82131,1","","","","Anzahl der Geburten","Anzahl aller Einwohner_innen","","","","2001","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Bevölkerung","Rohe Geburtenrate","deutsch","7,9","502","63503,8","","","","Anzahl der Geburten deutscher Mütter","Anzahl deutsche Einwohner_innen","","","","2001","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Bevölkerung","Rohe Geburtenrate","ausländisch","12,7","112","8811","","","","Anzahl der Geburten ausländischer Mütter","Anzahl ausländische ausländische Einwohner_innen","","","","2001","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Bevölkerung","Rohe Geburtenrate","gesamt","9,7","581","60123,5","","","","Anzahl der Geburten","Anzahl aller Einwohner_innen","","","","2001","Stadtbezirk","21","21 Pasing - Obermenzing"
"Bevölkerung","Rohe Geburtenrate","gesamt","10,9","566","51952,1","","","","Anzahl der Geburten","Anzahl aller Einwohner_innen","","","","2001","Stadtbezirk","5","05 Au - Haidhausen"
