"INDIKATOR_GRUPPE","INDIKATOR_BEZEICHNUNG","INDIKATOR_AUSPRAEGUNG","INDIKATOR_WERT","BASISWERT_1","BASISWERT_2","BASISWERT_3","BASISWERT_4","BASISWERT_5","NAME_BASISWERT1","NAME_BASISWERT2","NAME_BASISWERT3","NAME_BASISWERT4","NAME_BASISWERT5","JAHR","GLIEDERUNG","NUMMER","NAME"
"Bevölkerung","Rohe Sterberate","ausländisch","2,8","30","10620,7","","","","Anzahl ausländisch Gestorbener","Einwohner mit Hauptwohnsitz (Jahresdurchschnitt, Ausländer(innen)","","","","2000","Stadtbezirk","7","07 Sendling - Westpark"
"Bevölkerung","Rohe Sterberate","deutsch","14,4","459","31865","","","","Anzahl deutscher Gestorbener","Einwohner mit Hauptwohnsitz (Jahresdurchschnitt, deutsch)","","","","2000","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Bevölkerung","Rohe Sterberate","gesamt","7,4","306","41461,3","","","","Anzahl Gestorbene","Einwohner mit Hauptwohnsitz (Jahresdurchschnitt, gesamt)","","","","2000","Stadtbezirk","3","03 Maxvorstadt"
"Bevölkerung","Rohe Sterberate","deutsch","12,3","479","38928,8","","","","Anzahl deutscher Gestorbener","Einwohner mit Hauptwohnsitz (Jahresdurchschnitt, deutsch)","","","","2000","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Bevölkerung","Rohe Sterberate","deutsch","11,6","356","30745,9","","","","Anzahl deutscher Gestorbener","Einwohner mit Hauptwohnsitz (Jahresdurchschnitt, deutsch)","","","","2000","Stadtbezirk","22","22 Aubing - Lochhausen - Langwied"
"Bevölkerung","Rohe Sterberate","deutsch","13","501","38672,4","","","","Anzahl deutscher Gestorbener","Einwohner mit Hauptwohnsitz (Jahresdurchschnitt, deutsch)","","","","2000","Stadtbezirk","5","05 Au - Haidhausen"
"Bevölkerung","Rohe Sterberate","deutsch","13,6","508","37297,4","","","","Anzahl deutscher Gestorbener","Einwohner mit Hauptwohnsitz (Jahresdurchschnitt, deutsch)","","","","2000","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Bevölkerung","Rohe Sterberate","ausländisch","3,2","56","17775,7","","","","Anzahl ausländisch Gestorbener","Einwohner mit Hauptwohnsitz (Jahresdurchschnitt, Ausländer(innen)","","","","2000","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Bevölkerung","Rohe Sterberate","gesamt","9,1","225","24782,4","","","","Anzahl Gestorbene","Einwohner mit Hauptwohnsitz (Jahresdurchschnitt, gesamt)","","","","2000","Stadtbezirk","8","08 Schwanthalerhöhe"
"Bevölkerung","Rohe Sterberate","ausländisch","2,6","27","10324,3","","","","Anzahl ausländisch Gestorbener","Einwohner mit Hauptwohnsitz (Jahresdurchschnitt, Ausländer(innen)","","","","2000","Stadtbezirk","3","03 Maxvorstadt"
