"INDIKATOR_GRUPPE","INDIKATOR_BEZEICHNUNG","INDIKATOR_AUSPRAEGUNG","INDIKATOR_WERT","BASISWERT_1","BASISWERT_2","BASISWERT_3","BASISWERT_4","BASISWERT_5","NAME_BASISWERT1","NAME_BASISWERT2","NAME_BASISWERT3","NAME_BASISWERT4","NAME_BASISWERT5","JAHR","GLIEDERUNG","NUMMER","NAME"
"Bevölkerung","Zusammengefasste Geburtenrate","deutsch","1,04","","","","","","","","","","","2000","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Bevölkerung","Zusammengefasste Geburtenrate","ausländisch","1,74","","","","","","","","","","","2000","Stadtbezirk","25","25 Laim"
"Bevölkerung","Zusammengefasste Geburtenrate","gesamt","1,2","","","","","","","","","","","2000","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Zusammengefasste Geburtenrate","ausländisch","1,75","","","","","","","","","","","2000","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Bevölkerung","Zusammengefasste Geburtenrate","deutsch","1,39","","","","","","","","","","","2000","Stadtbezirk","15","15 Trudering - Riem"
"Bevölkerung","Zusammengefasste Geburtenrate","ausländisch","1,66","","","","","","","","","","","2000","Stadtbezirk","15","15 Trudering - Riem"
"Bevölkerung","Zusammengefasste Geburtenrate","gesamt","1,39","","","","","","","","","","","2000","Stadtbezirk","21","21 Pasing - Obermenzing"
"Bevölkerung","Zusammengefasste Geburtenrate","deutsch","0,95","","","","","","","","","","","2000","Stadtbezirk","12","12 Schwabing - Freimann"
"Bevölkerung","Zusammengefasste Geburtenrate","gesamt","1,2","","","","","","","","","","","2000","Stadtbezirk","25","25 Laim"
"Bevölkerung","Zusammengefasste Geburtenrate","ausländisch","1,69","","","","","","","","","","","2000","Stadtbezirk","20","20 Hadern"
"Bevölkerung","Zusammengefasste Geburtenrate","deutsch","1,08","","","","","","","","","","","2000","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Bevölkerung","Zusammengefasste Geburtenrate","gesamt","1,11","","","","","","","","","","","2000","Stadtbezirk","13","13 Bogenhausen"
"Bevölkerung","Zusammengefasste Geburtenrate","gesamt","1,21","","","","","","","","","","","2000","Stadtbezirk","14","14 Berg am Laim"
"Bevölkerung","Zusammengefasste Geburtenrate","gesamt","1,28","","","","","","","","","","","2000","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Bevölkerung","Zusammengefasste Geburtenrate","gesamt","0,92","","","","","","","","","","","2000","Stadtbezirk","4","04 Schwabing - West"
"Bevölkerung","Zusammengefasste Geburtenrate","ausländisch","1,24","","","","","","","","","","","2000","Stadtbezirk","4","04 Schwabing - West"
"Bevölkerung","Zusammengefasste Geburtenrate","ausländisch","1,62","","","","","","","","","","","2000","Gesamtstadt","#100","Stadt München"
"Bevölkerung","Zusammengefasste Geburtenrate","ausländisch","1,61","","","","","","","","","","","2000","Stadtbezirk","8","08 Schwanthalerhöhe"
"Bevölkerung","Zusammengefasste Geburtenrate","ausländisch","1,89","","","","","","","","","","","2000","Stadtbezirk","22","22 Aubing - Lochhausen - Langwied"
"Bevölkerung","Zusammengefasste Geburtenrate","ausländisch","1,81","","","","","","","","","","","2000","Stadtbezirk","7","07 Sendling - Westpark"
"Bevölkerung","Zusammengefasste Geburtenrate","ausländisch","1,37","","","","","","","","","","","2000","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Bevölkerung","Zusammengefasste Geburtenrate","ausländisch","2,05","","","","","","","","","","","2000","Stadtbezirk","10","10 Moosach"
"Bevölkerung","Zusammengefasste Geburtenrate","deutsch","1,1","","","","","","","","","","","2000","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Bevölkerung","Zusammengefasste Geburtenrate","gesamt","0,82","","","","","","","","","","","2000","Stadtbezirk","3","03 Maxvorstadt"
"Bevölkerung","Zusammengefasste Geburtenrate","deutsch","1,21","","","","","","","","","","","2000","Stadtbezirk","21","21 Pasing - Obermenzing"
"Bevölkerung","Zusammengefasste Geburtenrate","ausländisch","1,35","","","","","","","","","","","2000","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Bevölkerung","Zusammengefasste Geburtenrate","deutsch","1,25","","","","","","","","","","","2000","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Bevölkerung","Zusammengefasste Geburtenrate","gesamt","1,39","","","","","","","","","","","2000","Stadtbezirk","15","15 Trudering - Riem"
"Bevölkerung","Zusammengefasste Geburtenrate","ausländisch","2,17","","","","","","","","","","","2000","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Bevölkerung","Zusammengefasste Geburtenrate","ausländisch","1,29","","","","","","","","","","","2000","Stadtbezirk","12","12 Schwabing - Freimann"
"Bevölkerung","Zusammengefasste Geburtenrate","ausländisch","2,04","","","","","","","","","","","2000","Stadtbezirk","6","06 Sendling"
"Bevölkerung","Zusammengefasste Geburtenrate","deutsch","1,07","","","","","","","","","","","2000","Stadtbezirk","11","11 Milbertshofen - Am Hart"
"Bevölkerung","Zusammengefasste Geburtenrate","gesamt","1,2","","","","","","","","","","","2000","Stadtbezirk","8","08 Schwanthalerhöhe"
"Bevölkerung","Zusammengefasste Geburtenrate","gesamt","1,27","","","","","","","","","","","2000","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Bevölkerung","Zusammengefasste Geburtenrate","gesamt","1,24","","","","","","","","","","","2000","Stadtbezirk","20","20 Hadern"
"Bevölkerung","Zusammengefasste Geburtenrate","deutsch","0,85","","","","","","","","","","","2000","Stadtbezirk","3","03 Maxvorstadt"
"Bevölkerung","Zusammengefasste Geburtenrate","gesamt","1,14","","","","","","","","","","","2000","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Bevölkerung","Zusammengefasste Geburtenrate","ausländisch","1,23","","","","","","","","","","","2000","Stadtbezirk","1","01 Altstadt - Lehel"
"Bevölkerung","Zusammengefasste Geburtenrate","ausländisch","1,28","","","","","","","","","","","2000","Stadtbezirk","5","05 Au - Haidhausen"
"Bevölkerung","Zusammengefasste Geburtenrate","ausländisch","2,12","","","","","","","","","","","2000","Stadtbezirk","23","23 Allach - Untermenzing"
"Bevölkerung","Zusammengefasste Geburtenrate","ausländisch","1,65","","","","","","","","","","","2000","Stadtbezirk","13","13 Bogenhausen"
"Bevölkerung","Zusammengefasste Geburtenrate","ausländisch","1,64","","","","","","","","","","","2000","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Bevölkerung","Zusammengefasste Geburtenrate","gesamt","1,09","","","","","","","","","","","2000","Stadtbezirk","1","01 Altstadt - Lehel"
