"INDIKATOR_GRUPPE","INDIKATOR_BEZEICHNUNG","INDIKATOR_AUSPRAEGUNG","INDIKATOR_WERT","BASISWERT_1","BASISWERT_2","BASISWERT_3","BASISWERT_4","BASISWERT_5","NAME_BASISWERT1","NAME_BASISWERT2","NAME_BASISWERT3","NAME_BASISWERT4","NAME_BASISWERT5","JAHR","GLIEDERUNG","NUMMER","NAME"
"Grundschüler_innen","Familiensprache - nicht deutsch","Wert","21,7","243","1120","","","","Grundschüler_innen mit nicht deutscher Familiensprache","alle Grundschüler und Grundschülerinnen","","","","2009","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Grundschüler_innen","Familiensprache - nicht deutsch","Wert","39,53","557","1409","","","","Grundschüler_innen mit nicht deutscher Familiensprache","alle Grundschüler und Grundschülerinnen","","","","2009","Stadtbezirk","10","10 Moosach"
"Grundschüler_innen","Familiensprache - nicht deutsch","Wert","37,97","584","1538","","","","Grundschüler_innen mit nicht deutscher Familiensprache","alle Grundschüler und Grundschülerinnen","","","","2009","Stadtbezirk","20","20 Hadern"
"Grundschüler_innen","Familiensprache - nicht deutsch","Wert","26,42","209","791","","","","Grundschüler_innen mit nicht deutscher Familiensprache","alle Grundschüler und Grundschülerinnen","","","","2009","Stadtbezirk","14","14 Berg am Laim"
"Grundschüler_innen","Familiensprache - nicht deutsch","Wert","38,97","470","1206","","","","Grundschüler_innen mit nicht deutscher Familiensprache","alle Grundschüler und Grundschülerinnen","","","","2009","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Grundschüler_innen","Familiensprache - nicht deutsch","Wert","26,41","713","2700","","","","Grundschüler_innen mit nicht deutscher Familiensprache","alle Grundschüler und Grundschülerinnen","","","","2009","Stadtbezirk","15","15 Trudering - Riem"
"Grundschüler_innen","Familiensprache - nicht deutsch","Wert","24,67","302","1224","","","","Grundschüler_innen mit nicht deutscher Familiensprache","alle Grundschüler und Grundschülerinnen","","","","2009","Stadtbezirk","25","25 Laim"
"Grundschüler_innen","Familiensprache - nicht deutsch","Wert","31,9","335","1050","","","","Grundschüler_innen mit nicht deutscher Familiensprache","alle Grundschüler und Grundschülerinnen","","","","2009","Stadtbezirk","6","06 Sendling"
"Grundschüler_innen","Familiensprache - nicht deutsch","Wert","18,5","64","346","","","","Grundschüler_innen mit nicht deutscher Familiensprache","alle Grundschüler und Grundschülerinnen","","","","2009","Stadtbezirk","1","01 Altstadt - Lehel"
"Grundschüler_innen","Familiensprache - nicht deutsch","Wert","29,63","256","864","","","","Grundschüler_innen mit nicht deutscher Familiensprache","alle Grundschüler und Grundschülerinnen","","","","2009","Stadtbezirk","7","07 Sendling - Westpark"
"Grundschüler_innen","Familiensprache - nicht deutsch","Wert","13,93","291","2089","","","","Grundschüler_innen mit nicht deutscher Familiensprache","alle Grundschüler und Grundschülerinnen","","","","2009","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Grundschüler_innen","Familiensprache - nicht deutsch","Wert","32,73","581","1775","","","","Grundschüler_innen mit nicht deutscher Familiensprache","alle Grundschüler und Grundschülerinnen","","","","2009","Stadtbezirk","12","12 Schwabing - Freimann"
