"INDIKATOR_GRUPPE","INDIKATOR_BEZEICHNUNG","INDIKATOR_AUSPRAEGUNG","INDIKATOR_WERT","BASISWERT_1","BASISWERT_2","BASISWERT_3","BASISWERT_4","BASISWERT_5","NAME_BASISWERT1","NAME_BASISWERT2","NAME_BASISWERT3","NAME_BASISWERT4","NAME_BASISWERT5","JAHR","GLIEDERUNG","NUMMER","NAME"
"Grundschüler_innen","Nationalität","ausländisch","17,3","208","1199","","","","ausländische Grundschüler_innen","alle Grundschüler_innen","","","","2007","Stadtbezirk","23","23 Allach - Untermenzing"
"Grundschüler_innen","Nationalität","deutsch","70,3","1393","1981","","","","deutsche Grundschüler_innen","alle Grundschüler_innen","","","","2007","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Grundschüler_innen","Nationalität","deutsch","72,6","714","984","","","","deutsche Grundschüler_innen","alle Grundschüler_innen","","","","2007","Stadtbezirk","6","06 Sendling"
"Grundschüler_innen","Nationalität","ausländisch","34,7","278","801","","","","ausländische Grundschüler_innen","alle Grundschüler_innen","","","","2007","Stadtbezirk","14","14 Berg am Laim"
"Grundschüler_innen","Nationalität","deutsch","74,9","661","883","","","","deutsche Grundschüler_innen","alle Grundschüler_innen","","","","2007","Stadtbezirk","7","07 Sendling - Westpark"
"Grundschüler_innen","Nationalität","ausländisch","14,9","47","315","","","","ausländische Grundschüler_innen","alle Grundschüler_innen","","","","2007","Stadtbezirk","1","01 Altstadt - Lehel"
"Grundschüler_innen","Nationalität","ausländisch","19,6","195","995","","","","ausländische Grundschüler_innen","alle Grundschüler_innen","","","","2007","Stadtbezirk","3","03 Maxvorstadt"
"Grundschüler_innen","Nationalität","deutsch","81,7","1669","2043","","","","deutsche Grundschüler_innen","alle Grundschüler_innen","","","","2007","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Grundschüler_innen","Nationalität","deutsch","87,6","2229","2544","","","","deutsche Grundschüler_innen","alle Grundschüler_innen","","","","2007","Stadtbezirk","15","15 Trudering - Riem"
"Grundschüler_innen","Nationalität","ausländisch","24,1","297","1233","","","","ausländische Grundschüler_innen","alle Grundschüler_innen","","","","2007","Stadtbezirk","25","25 Laim"
"Grundschüler_innen","Nationalität","deutsch","73,4","1031","1405","","","","deutsche Grundschüler_innen","alle Grundschüler_innen","","","","2007","Stadtbezirk","22","22 Aubing - Lochhausen - Langwied"
"Grundschüler_innen","Nationalität","deutsch","68,8","2237","3250","","","","deutsche Grundschüler_innen","alle Grundschüler_innen","","","","2007","Stadtbezirk","16","16 Ramersdorf - Perlach"
