"INDIKATOR_GRUPPE","INDIKATOR_BEZEICHNUNG","INDIKATOR_AUSPRAEGUNG","INDIKATOR_WERT","BASISWERT_1","BASISWERT_2","BASISWERT_3","BASISWERT_4","BASISWERT_5","NAME_BASISWERT1","NAME_BASISWERT2","NAME_BASISWERT3","NAME_BASISWERT4","NAME_BASISWERT5","JAHR","GLIEDERUNG","NUMMER","NAME"
"Kinderbetreuung","Altersgruppen","3 bis unter 8 Jahre (ohne Schulkinder)","62","1491","2406","","","","betreute Kinder von 3 bis 7 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Kinderbetreuung","Altersgruppen","5 bis unter 14 Jahre (Schulkinder)","14,1","115","815","","","","betreute Kinder von 5 bis unter 14 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","1","01 Altstadt - Lehel"
"Kinderbetreuung","Altersgruppen","Unter 3 Jahre","10,7","258","2406","","","","betreute Kinder unter 3 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Kinderbetreuung","Altersgruppen","5 bis unter 14 Jahre (Schulkinder)","29,9","729","2441","","","","betreute Kinder von 5 bis unter 14 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","5","05 Au - Haidhausen"
"Kinderbetreuung","Altersgruppen","5 bis unter 14 Jahre (Schulkinder)","31,7","567","1787","","","","betreute Kinder von 5 bis unter 14 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Kinderbetreuung","Altersgruppen","5 bis unter 14 Jahre (Schulkinder)","19,6","286","1462","","","","betreute Kinder von 5 bis unter 14 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","7","07 Sendling - Westpark"
"Kinderbetreuung","Altersgruppen","Unter 3 Jahre","12,9","625","4854","","","","betreute Kinder unter 3 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Kinderbetreuung","Altersgruppen","3 bis unter 8 Jahre (ohne Schulkinder)","70,6","874","1238","","","","betreute Kinder von 3 bis 7 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","4","04 Schwabing - West"
"Kinderbetreuung","Altersgruppen","Unter 3 Jahre","9,8","193","1979","","","","betreute Kinder unter 3 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","20","20 Hadern"
"Kinderbetreuung","Altersgruppen","Unter 3 Jahre","10,6","113","1070","","","","betreute Kinder unter 3 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","23","23 Allach - Untermenzing"
"Kinderbetreuung","Altersgruppen","Unter 3 Jahre","16,3","183","1126","","","","betreute Kinder unter 3 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","8","08 Schwanthalerhöhe"
"Kinderbetreuung","Altersgruppen","Unter 3 Jahre","12,9","315","2441","","","","betreute Kinder unter 3 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","5","05 Au - Haidhausen"
"Kinderbetreuung","Altersgruppen","Unter 3 Jahre","12,1","177","1462","","","","betreute Kinder unter 3 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","7","07 Sendling - Westpark"
"Kinderbetreuung","Altersgruppen","5 bis unter 14 Jahre (Schulkinder)","27,3","657","2406","","","","betreute Kinder von 5 bis unter 14 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Kinderbetreuung","Altersgruppen","Unter 3 Jahre","12,3","366","2979","","","","betreute Kinder unter 3 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","11","11 Milbertshofen - Am Hart"
"Kinderbetreuung","Altersgruppen","3 bis unter 8 Jahre (ohne Schulkinder)","59,8","2904","4854","","","","betreute Kinder von 3 bis 7 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Kinderbetreuung","Altersgruppen","3 bis unter 8 Jahre (ohne Schulkinder)","59","1796","3045","","","","betreute Kinder von 3 bis 7 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Kinderbetreuung","Altersgruppen","5 bis unter 14 Jahre (Schulkinder)","20,8","257","1238","","","","betreute Kinder von 5 bis unter 14 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","4","04 Schwabing - West"
"Kinderbetreuung","Altersgruppen","5 bis unter 14 Jahre (Schulkinder)","25,3","769","3045","","","","betreute Kinder von 5 bis unter 14 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Kinderbetreuung","Altersgruppen","3 bis unter 8 Jahre (ohne Schulkinder)","71","1549","2181","","","","betreute Kinder von 3 bis 7 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","21","21 Pasing - Obermenzing"
"Kinderbetreuung","Altersgruppen","Unter 3 Jahre","14,3","387","2704","","","","betreute Kinder unter 3 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Kinderbetreuung","Altersgruppen","5 bis unter 14 Jahre (Schulkinder)","24,7","462","1874","","","","betreute Kinder von 5 bis unter 14 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","10","10 Moosach"
"Kinderbetreuung","Altersgruppen","5 bis unter 14 Jahre (Schulkinder)","20,5","555","2704","","","","betreute Kinder von 5 bis unter 14 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","19","19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"Kinderbetreuung","Altersgruppen","3 bis unter 8 Jahre (ohne Schulkinder)","58,8","1613","2742","","","","betreute Kinder von 3 bis 7 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","12","12 Schwabing - Freimann"
"Kinderbetreuung","Altersgruppen","5 bis unter 14 Jahre (Schulkinder)","23","11858","51643","","","","betreute Kinder von 5 bis unter 14 Jahren","alle betreute Kinder","","","","2007","Gesamtstadt","#100","Stadt München"
"Kinderbetreuung","Altersgruppen","5 bis unter 14 Jahre (Schulkinder)","18,3","344","1875","","","","betreute Kinder von 5 bis unter 14 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","3","03 Maxvorstadt"
"Kinderbetreuung","Altersgruppen","5 bis unter 14 Jahre (Schulkinder)","18,3","268","1462","","","","betreute Kinder von 5 bis unter 14 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","14","14 Berg am Laim"
"Kinderbetreuung","Altersgruppen","5 bis unter 14 Jahre (Schulkinder)","20,9","361","1727","","","","betreute Kinder von 5 bis unter 14 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","6","06 Sendling"
"Kinderbetreuung","Altersgruppen","3 bis unter 8 Jahre (ohne Schulkinder)","54,2","939","1733","","","","betreute Kinder von 3 bis 7 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Kinderbetreuung","Altersgruppen","Unter 3 Jahre","20,4","353","1733","","","","betreute Kinder unter 3 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","2","02 Ludwigsvorstadt - Isarvorstadt"
"Kinderbetreuung","Altersgruppen","3 bis unter 8 Jahre (ohne Schulkinder)","66,1","1142","1727","","","","betreute Kinder von 3 bis 7 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","6","06 Sendling"
"Kinderbetreuung","Altersgruppen","3 bis unter 8 Jahre (ohne Schulkinder)","69,8","1021","1462","","","","betreute Kinder von 3 bis 7 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","14","14 Berg am Laim"
"Kinderbetreuung","Altersgruppen","Unter 3 Jahre","9,9","277","2805","","","","betreute Kinder unter 3 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","13","13 Bogenhausen"
"Kinderbetreuung","Altersgruppen","Unter 3 Jahre","9,1","171","1874","","","","betreute Kinder unter 3 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","10","10 Moosach"
"Kinderbetreuung","Altersgruppen","Unter 3 Jahre","15,8","480","3045","","","","betreute Kinder unter 3 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","9","09 Neuhausen - Nymphenburg"
"Kinderbetreuung","Altersgruppen","3 bis unter 8 Jahre (ohne Schulkinder)","59,4","1062","1787","","","","betreute Kinder von 3 bis 7 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","17","17 Obergiesing - Fasangarten"
"Kinderbetreuung","Altersgruppen","3 bis unter 8 Jahre (ohne Schulkinder)","57,2","1397","2441","","","","betreute Kinder von 3 bis 7 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","5","05 Au - Haidhausen"
"Kinderbetreuung","Altersgruppen","3 bis unter 8 Jahre (ohne Schulkinder)","61,8","504","815","","","","betreute Kinder von 3 bis 7 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","1","01 Altstadt - Lehel"
"Kinderbetreuung","Altersgruppen","3 bis unter 8 Jahre (ohne Schulkinder)","67,6","1047","1549","","","","betreute Kinder von 3 bis 7 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","18","18 Untergiesing - Harlaching"
"Kinderbetreuung","Altersgruppen","3 bis unter 8 Jahre (ohne Schulkinder)","66,2","1241","1874","","","","betreute Kinder von 3 bis 7 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","10","10 Moosach"
"Kinderbetreuung","Altersgruppen","Unter 3 Jahre","11,8","173","1462","","","","betreute Kinder unter 3 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","14","14 Berg am Laim"
"Kinderbetreuung","Altersgruppen","5 bis unter 14 Jahre (Schulkinder)","23,1","633","2742","","","","betreute Kinder von 5 bis unter 14 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","12","12 Schwabing - Freimann"
"Kinderbetreuung","Altersgruppen","Unter 3 Jahre","13","6712","51643","","","","betreute Kinder unter 3 Jahren","alle betreute Kinder","","","","2007","Gesamtstadt","#100","Stadt München"
"Kinderbetreuung","Altersgruppen","5 bis unter 14 Jahre (Schulkinder)","25,8","511","1979","","","","betreute Kinder von 5 bis unter 14 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","20","20 Hadern"
"Kinderbetreuung","Altersgruppen","5 bis unter 14 Jahre (Schulkinder)","24,7","737","2979","","","","betreute Kinder von 5 bis unter 14 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","11","11 Milbertshofen - Am Hart"
"Kinderbetreuung","Altersgruppen","3 bis unter 8 Jahre (ohne Schulkinder)","63","1876","2979","","","","betreute Kinder von 3 bis 7 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","11","11 Milbertshofen - Am Hart"
"Kinderbetreuung","Altersgruppen","3 bis unter 8 Jahre (ohne Schulkinder)","70,1","750","1070","","","","betreute Kinder von 3 bis 7 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","23","23 Allach - Untermenzing"
"Kinderbetreuung","Altersgruppen","5 bis unter 14 Jahre (Schulkinder)","19,3","207","1070","","","","betreute Kinder von 5 bis unter 14 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","23","23 Allach - Untermenzing"
"Kinderbetreuung","Altersgruppen","3 bis unter 8 Jahre (ohne Schulkinder)","64,4","1275","1979","","","","betreute Kinder von 3 bis 7 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","20","20 Hadern"
"Kinderbetreuung","Altersgruppen","5 bis unter 14 Jahre (Schulkinder)","27,3","1325","4854","","","","betreute Kinder von 5 bis unter 14 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","16","16 Ramersdorf - Perlach"
"Kinderbetreuung","Altersgruppen","Unter 3 Jahre","12,2","342","2805","","","","betreute Kinder unter 3 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","15","15 Trudering - Riem"
"Kinderbetreuung","Altersgruppen","Unter 3 Jahre","10,8","167","1543","","","","betreute Kinder unter 3 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","25","25 Laim"
"Kinderbetreuung","Altersgruppen","Unter 3 Jahre","3,9","56","1441","","","","betreute Kinder unter 3 Jahren","alle betreute Kinder","","","","2007","Stadtbezirk","22","22 Aubing - Lochhausen - Langwied"
"Kinderbetreuung","Altersgruppen","3 bis unter 8 Jahre (ohne Schulkinder)","64","33073","51643","","","","betreute Kinder von 3 bis 7 Jahren","alle betreute Kinder","","","","2007","Gesamtstadt","#100","Stadt München"
