"INDIKATOR_GRUPPE","INDIKATOR_BEZEICHNUNG","INDIKATOR_AUSPRAEGUNG","INDIKATOR_WERT","BASISWERT_1","BASISWERT_2","BASISWERT_3","BASISWERT_4","BASISWERT_5","NAME_BASISWERT1","NAME_BASISWERT2","NAME_BASISWERT3","NAME_BASISWERT4","NAME_BASISWERT5","JAHR","GLIEDERUNG","NUMMER","NAME"
"Kinderbetreuung","Familiensprache - nicht deutsch","Unter 3 Jahre","21","104","496","","","","betreute Kinder unter 3 Jahren mit nicht deutscher Familiensprache","alle betreute Kinder unter 3 Jahren","","","","2007","Stadtbezirk","12","12 Schwabing - Freimann"
"Kinderbetreuung","Familiensprache - nicht deutsch","5 bis unter 14 Jahre (Schulkinder)","35,5","128","361","","","","betreute Kinder von 5 bis unter 14 Jahren mit nicht deutscher Familiensprache","alle betreute Kinder von 5 bis unter 14  Jahren ","","","","2007","Stadtbezirk","6","06 Sendling"
"Kinderbetreuung","Familiensprache - nicht deutsch","5 bis unter 14 Jahre (Schulkinder)","53","348","657","","","","betreute Kinder von 5 bis unter 14 Jahren mit nicht deutscher Familiensprache","alle betreute Kinder von 5 bis unter 14  Jahren ","","","","2007","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Kinderbetreuung","Familiensprache - nicht deutsch","Unter 3 Jahre","35,3","91","258","","","","betreute Kinder unter 3 Jahren mit nicht deutscher Familiensprache","alle betreute Kinder unter 3 Jahren","","","","2007","Stadtbezirk","24","24 Feldmoching - Hasenbergl"
"Kinderbetreuung","Familiensprache - nicht deutsch","Unter 3 Jahre","20,2","35","173","","","","betreute Kinder unter 3 Jahren mit nicht deutscher Familiensprache","alle betreute Kinder unter 3 Jahren","","","","2007","Stadtbezirk","14","14 Berg am Laim"
"Kinderbetreuung","Familiensprache - nicht deutsch","Unter 3 Jahre","17,9","40","224","","","","betreute Kinder unter 3 Jahren mit nicht deutscher Familiensprache","alle betreute Kinder unter 3 Jahren","","","","2007","Stadtbezirk","6","06 Sendling"
"Kinderbetreuung","Familiensprache - nicht deutsch","3 bis unter 8 Jahre (ohne Schulkinder)","32,4","523","1613","","","","betreute Kinder von 3 bis 7 Jahren mit nicht deutscher Familiensprache","alle betreute Kinder von 3 bis 7 Jahren ","","","","2007","Stadtbezirk","12","12 Schwabing - Freimann"
"Kinderbetreuung","Familiensprache - nicht deutsch","3 bis unter 8 Jahre (ohne Schulkinder)","44","449","1021","","","","betreute Kinder von 3 bis 7 Jahren mit nicht deutscher Familiensprache","alle betreute Kinder von 3 bis 7 Jahren ","","","","2007","Stadtbezirk","14","14 Berg am Laim"
"Kinderbetreuung","Familiensprache - nicht deutsch","3 bis unter 8 Jahre (ohne Schulkinder)","45,1","515","1142","","","","betreute Kinder von 3 bis 7 Jahren mit nicht deutscher Familiensprache","alle betreute Kinder von 3 bis 7 Jahren ","","","","2007","Stadtbezirk","6","06 Sendling"
"Kinderbetreuung","Familiensprache - nicht deutsch","5 bis unter 14 Jahre (Schulkinder)","46,3","124","268","","","","betreute Kinder von 5 bis unter 14 Jahren mit nicht deutscher Familiensprache","alle betreute Kinder von 5 bis unter 14  Jahren ","","","","2007","Stadtbezirk","14","14 Berg am Laim"
