mapId;NAME;JAHR;INDIKATOR_AUSPRAEGUNG;INDIKATOR_WERT;GLIEDERUNG
24;18 Untergiesing - Harlaching;2000;männlich-deutsch;72,6;Stadtbezirk
20;12 Schwabing - Freimann;2000;weiblich-gesamt;80,2;Stadtbezirk
1;15 Trudering - Riem;2000;männlich-gesamt;68,2;Stadtbezirk
3;22 Aubing - Lochhausen - Langwied;2000;männlich-gesamt;70,2;Stadtbezirk
3;22 Aubing - Lochhausen - Langwied;2000;männlich-deutsch;70,6;Stadtbezirk
0;06 Sendling;2000;weiblich-ausländisch;63,3;Stadtbezirk
23;21 Pasing - Obermenzing;2000;männlich-gesamt;72,1;Stadtbezirk
15;14 Berg am Laim;2000;männlich-gesamt;64,8;Stadtbezirk
24;18 Untergiesing - Harlaching;2000;männlich-gesamt;72,2;Stadtbezirk
8;08 Schwanthalerhöhe;2000;männlich-deutsch;66,9;Stadtbezirk
24;18 Untergiesing - Harlaching;2000;weiblich-ausländisch;63,8;Stadtbezirk
6;10 Moosach;2000;männlich-gesamt;67,4;Stadtbezirk
12;01 Altstadt - Lehel;2000;weiblich-ausländisch;70;Stadtbezirk
11;03 Maxvorstadt;2000;weiblich-deutsch;80,4;Stadtbezirk
20;12 Schwabing - Freimann;2000;männlich-gesamt;72;Stadtbezirk
3;22 Aubing - Lochhausen - Langwied;2000;männlich-ausländisch;64,7;Stadtbezirk
8;08 Schwanthalerhöhe;2000;männlich-ausländisch;56,5;Stadtbezirk
24;18 Untergiesing - Harlaching;2000;männlich-ausländisch;65,8;Stadtbezirk
23;21 Pasing - Obermenzing;2000;weiblich-deutsch;80,5;Stadtbezirk
15;14 Berg am Laim;2000;weiblich-deutsch;77,1;Stadtbezirk
8;08 Schwanthalerhöhe;2000;weiblich-deutsch;76,5;Stadtbezirk
24;18 Untergiesing - Harlaching;2000;weiblich-deutsch;81,9;Stadtbezirk
23;21 Pasing - Obermenzing;2000;weiblich-ausländisch;55,5;Stadtbezirk
3;22 Aubing - Lochhausen - Langwied;2000;weiblich-ausländisch;41;Stadtbezirk
15;14 Berg am Laim;2000;weiblich-ausländisch;58,5;Stadtbezirk
12;01 Altstadt - Lehel;2000;männlich-gesamt;72,7;Stadtbezirk
7;25 Laim;2000;männlich-gesamt;71,8;Stadtbezirk
12;01 Altstadt - Lehel;2000;männlich-deutsch;74,2;Stadtbezirk
6;10 Moosach;2000;männlich-deutsch;69,1;Stadtbezirk
22;09 Neuhausen - Nymphenburg;2000;weiblich-ausländisch;68,1;Stadtbezirk
4;23 Allach - Untermenzing;2000;weiblich-gesamt;80,8;Stadtbezirk
10;11 Milbertshofen - Am Hart;2000;weiblich-gesamt;74,8;Stadtbezirk
25;17 Obergiesing - Fasangarten;2000;weiblich-deutsch;80,6;Stadtbezirk
5;24 Feldmoching - Hasenbergl;2000;weiblich-deutsch;78,2;Stadtbezirk
11;03 Maxvorstadt;2000;weiblich-ausländisch;61,4;Stadtbezirk
15;14 Berg am Laim;2000;männlich-deutsch;65,4;Stadtbezirk
20;12 Schwabing - Freimann;2000;männlich-ausländisch;66,7;Stadtbezirk
8;08 Schwanthalerhöhe;2000;weiblich-gesamt;75,4;Stadtbezirk
1;15 Trudering - Riem;2000;männlich-deutsch;68,8;Stadtbezirk
12;01 Altstadt - Lehel;2000;weiblich-gesamt;82,9;Stadtbezirk
6;10 Moosach;2000;weiblich-deutsch;78,3;Stadtbezirk
22;09 Neuhausen - Nymphenburg;2000;weiblich-deutsch;81,6;Stadtbezirk
11;03 Maxvorstadt;2000;weiblich-gesamt;79,4;Stadtbezirk
8;08 Schwanthalerhöhe;2000;männlich-gesamt;64,5;Stadtbezirk
15;14 Berg am Laim;2000;männlich-ausländisch;59,8;Stadtbezirk
15;14 Berg am Laim;2000;weiblich-gesamt;76,8;Stadtbezirk
12;01 Altstadt - Lehel;2000;männlich-ausländisch;59,2;Stadtbezirk
0;Stadt München;2000;weiblich-deutsch;79,4;Gesamtstadt
0;Stadt München;2000;weiblich-ausländisch;63;Gesamtstadt
23;21 Pasing - Obermenzing;2000;weiblich-gesamt;80;Stadtbezirk
3;22 Aubing - Lochhausen - Langwied;2000;weiblich-gesamt;76,2;Stadtbezirk
8;08 Schwanthalerhöhe;2000;weiblich-ausländisch;60,4;Stadtbezirk
7;25 Laim;2000;männlich-deutsch;73,2;Stadtbezirk
1;15 Trudering - Riem;2000;männlich-ausländisch;59,3;Stadtbezirk
7;25 Laim;2000;männlich-ausländisch;55,5;Stadtbezirk
6;10 Moosach;2000;weiblich-gesamt;77,7;Stadtbezirk
1;15 Trudering - Riem;2000;weiblich-gesamt;75,4;Stadtbezirk
7;25 Laim;2000;weiblich-gesamt;78,1;Stadtbezirk
12;01 Altstadt - Lehel;2000;weiblich-deutsch;83,3;Stadtbezirk
20;12 Schwabing - Freimann;2000;männlich-deutsch;72,5;Stadtbezirk
24;18 Untergiesing - Harlaching;2000;weiblich-gesamt;81;Stadtbezirk
