"sterbealter_geschlecht";"sterbealter";"stadtteil"
"maennlich-gesamt";"73";"01 Altstadt - Lehel"
"maennlich-gesamt";"70";"02 Ludwigsvorstadt - Isarvorstadt"
"maennlich-gesamt";"73";"03 Maxvorstadt"
"maennlich-gesamt";"74";"04 Schwabing - West"
"maennlich-gesamt";"72";"05 Au - Haidhausen"
"maennlich-gesamt";"74";"06 Sendling"
"maennlich-gesamt";"74";"07 Sendling - Westpark"
"maennlich-gesamt";"69";"08 Schwanthalerhöhe"
"maennlich-gesamt";"74";"09 Neuhausen - Nymphenburg"
"maennlich-gesamt";"72";"10 Moosach"
"maennlich-gesamt";"72";"11 Milbertshofen - Am Hart"
"maennlich-gesamt";"73";"12 Schwabing - Freimann"
"maennlich-gesamt";"77";"13 Bogenhausen"
"maennlich-gesamt";"73";"14 Berg am Laim"
"maennlich-gesamt";"77";"15 Trudering - Riem"
"maennlich-gesamt";"73";"16 Ramersdorf - Perlach"
"maennlich-gesamt";"74";"17 Obergiesing - Fasangarten"
"maennlich-gesamt";"74";"18 Untergiesing - Harlaching"
"maennlich-gesamt";"74";"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln"
"maennlich-gesamt";"75";"20 Hadern"
"maennlich-gesamt";"75";"21 Pasing - Obermenzing"
"maennlich-gesamt";"73";"22 Aubing - Lochhausen - Langwied"
"maennlich-gesamt";"76";"23 Allach - Untermenzing"
"maennlich-gesamt";"73";"24 Feldmoching - Hasenbergl"
"maennlich-gesamt";"74";"25 Laim"
